	Microglia	Complement_Immunosuppressive	Neutrophil	Scavenger_Immunosuppressive	G2_M	IFN_Response	IL1B_CD83_TNF_Inflammatory	cDC	G1_S	Hypoxia	Inflammatory_microglia	HS_UPR	Macrophage	Monocyte
CHIT1	7.88645E-05	0	0	0	0	0.000431952	0	0	3.54956E-07	0	0.000112935	0	0.00103441	0
CHML	2.57951E-06	0.000315736	0	0.000485069	0	0	0.000680592	0.000723052	0.00028313	0.000770784	0.000113936	0.000334253	0.000550313	0.000771674
CHMP1B	0.000240971	0.000819954	0.000666434	0.00038581	0	0.00036475	0.001758162	0.001277315	0	0.000310781	0.000807939	0.000281147	0.000495497	0.000852768
CHORDC1	0.000590098	0.000341138	0.000123424	0.000740853	0.000200396	0.000383047	0.00093075	0.000294682	0.000288991	0.000297474	0.000664815	0.009287836	0.000248325	0.00070737
CHRNA1	0.001307227	0	0	0	0	0.000395953	0	2.51824E-05	0	1.98585E-05	0	0	0.001103062	5.09223E-05
CHRNA6	0	0.000194157	0	8.23408E-06	0.000403518	0.000104316	0.000569738	6.86281E-05	0.000318595	0	0	0.000120615	3.07892E-05	6.78896E-05
CHST13	4.4814E-05	0.000211607	7.01996E-05	0.000180822	0	0.000199707	3.71344E-05	3.14243E-05	0.00012701	0	6.35003E-05	8.71607E-05	0.001255009	0.000158257
CHST2	0.000161897	6.60153E-05	0.000232682	0.000234735	0.001157077	0.000230317	6.19022E-05	0.001150541	2.20119E-05	0.001560574	0	0	0	0.000757325
CIP2A	0.000128336	0.000192565	0	0.000159493	0.003344715	1.27304E-05	6.16829E-05	9.08345E-05	0.002512851	3.12471E-05	0.00020784	0.000354969	0.000130327	5.81251E-05
CIT	3.58008E-05	1.36597E-05	0	0.000221646	0.005212411	0.00011714	0	5.35581E-05	0.001250626	0	9.73543E-05	0	1.00605E-05	0
CITED2	0.000494507	0.000703553	0	0.000578771	0	7.37152E-05	0.001600904	4.13173E-05	0	0.000794272	0.001101979	0.001215399	0.000439779	0.000190543
CITED4	0.001509346	0.000118165	3.61374E-05	0	0.000126999	0.000388479	7.75967E-05	0.00010529	0	2.25785E-05	0.000914208	0	0.00011629	0.000272849
CKAP2	0.000419246	0.000377605	0	0.000295116	0.005441893	0.000213432	6.00963E-05	0.000410175	0.000393192	8.05254E-06	0.000698187	0.000289677	0.000334993	0.000312846
CKAP2L	0	0	0	0	0.005730828	6.11269E-05	4.05419E-05	0	0.002177916	0	0	0	0	0
CKAP4	0.000403529	0.000146844	0.003697307	0.000624422	7.68568E-05	0	3.30585E-05	0	0.000353688	8.36545E-05	0.000254544	0.000382981	0.000263725	0.001980198
CKB	0.001733769	0.000368029	0	0	1.64938E-05	0.00175977	0.000289092	0.000194479	0.000265233	0.000135872	0.001390797	0.000141046	0	0.000167561
CKS1B	0.00020073	0.000156034	0	2.95304E-05	0.005920721	0.000329362	0.000106863	0.000195027	0.002083212	0.000141383	0.000109509	5.98359E-05	0.000156743	7.90484E-06
CKS2	7.88878E-05	3.36053E-05	0	9.55633E-05	0.003410572	6.12817E-05	0.001925055	0.001188177	0.00029943	0.000104233	0.000213331	0.002026119	0.000115987	0.000203144
CLC	0	1.09886E-05	0.000244886	0	0	0	1.7779E-06	7.30201E-06	0	0	7.16259E-07	0	0	1.63167E-05
CLDN1	0	0	0	0.000607319	3.73466E-05	8.39569E-05	0.000347345	0.000301274	0.000474586	0.000364858	7.3608E-05	3.90249E-05	0	0
CLEC10A	0	7.97978E-06	0	0	6.17442E-05	0	0.000156784	0.003866207	0	0	4.66808E-05	0.000426225	4.02589E-05	0.000892914
CLEC11A	0.000276471	0.000209027	0	0.001522233	0.000368046	5.80928E-05	1.76982E-05	0.000142398	0.0004457	3.01417E-05	7.85563E-05	0.000155149	0.000400889	0.000389298
CLEC12A	0	0.000474257	0.001280921	9.84309E-05	0.000410023	0.000352725	0.000220038	0.00100064	0	0	6.29756E-05	0.000109253	3.07374E-05	0.002310182
CLEC2B	0	0.001342048	0.000865488	0.000188764	0.000648996	0.000870633	0.00067703	0.000548909	0.000254202	0.00313033	0.000928673	0.001082702	0.000458257	0.000177246
CLEC4A	0.000156733	0.000664596	0.000549086	0.000117969	0.000377236	7.43056E-05	0.000181239	0.00132893	3.66235E-05	0	0.000591551	0.000233208	8.4453E-05	0.00155404
CLEC4D	0	2.57672E-05	0.003055482	0.000200412	0	4.5635E-05	0	2.44636E-05	0	0	0	0	0	0.002013006
CLEC4E	0	0.000170771	0.005671754	0.000589322	0	0.000118245	0.000149742	0.000323698	0	0	0.000485404	3.34279E-05	1.69569E-05	0.002090755
CLEC5A	0.000322295	3.73491E-05	0	0.002972295	7.71562E-05	0	0.000720811	2.53215E-05	0.000224213	0.001511075	0	0	0	0.001078042
CLEC9A	0.0003203	0	0	0	4.65869E-05	2.20268E-05	9.85447E-06	0.003889986	0	0	0.002075063	0	0	0
CLECL1	0.000441627	0.000250849	0	0.000190303	0.001016039	0.000223434	0.000297476	0.000718527	4.2678E-05	0.000181312	0.000618499	0.000150139	1.30426E-05	7.90987E-05
CLIC1	0.001467415	0.001197205	0.001762314	0.001365856	0.000752221	0.001498068	0.000482101	0.000902056	0.000142712	0.001505777	0.000395774	2.15128E-06	0.001077482	0.001018397
CLIC2	2.78671E-05	0.000998121	0	0.000202949	0	0.000280963	0.000107476	0.002878029	0	5.17131E-05	0.000535528	0.001250515	0.000846359	1.97189E-05
CLIP4	4.47281E-06	0.000300453	0	0.000277453	0	4.07108E-05	1.6383E-05	8.02722E-05	0	0.000553468	0.000107279	9.78087E-05	0.001979501	0.001474122
CLMN	0	0.000145261	0	0.00069469	7.02286E-05	0	0	1.56224E-05	8.79612E-05	0.000455192	1.93222E-05	2.97277E-05	0.000757506	0.002018512
CLNK	0	0	0	0	1.75103E-05	0	0	0.006044888	7.15325E-05	0	0	0	0	0
CLSPN	1.53304E-05	2.74432E-05	2.70519E-06	9.29712E-06	0.000134521	0.000111706	0	3.32578E-06	0.007234712	0	0	0	0	0
CLU	0.000368639	0.000628505	9.39419E-05	0.000512947	0.000243198	0.00112047	0.000680461	0.000171821	0.000165552	0.000547167	0.000240693	0.001158777	2.79379E-05	0.000426209
CMKLR1	0.000933816	0.00139559	0	0.000618177	0.000155432	0.000538793	0.000308181	0	0	0	0.00141396	0.000139357	0.001678267	9.97803E-05
CMPK2	0.000211075	6.35625E-05	0	5.61082E-05	3.99372E-05	0.009981817	0	3.07969E-05	0.000435489	0	0.000113498	6.09512E-05	7.75709E-05	4.22222E-05
CMTM2	0.000178538	0	0.00473777	0	5.96545E-06	5.86418E-05	0	2.97978E-05	2.88922E-05	0	0.000469758	0	0	0.000271586
CMYA5	0.001071411	8.53933E-07	3.63788E-05	2.90124E-05	3.25293E-05	5.38739E-05	3.30612E-05	0	1.39748E-05	1.36332E-05	4.21623E-05	2.73273E-05	2.83838E-05	7.38879E-05
CNGA1	0.000543385	0	0	0	0	0	0	0	0	5.76465E-07	0.000554209	0.000166807	7.54461E-05	0
CNIH4	0.000831176	0.000675547	0.00031226	0.000851019	0.001367931	0.000760063	0.000146599	3.42233E-05	0.000356294	0.001738628	0.000143522	0.000355231	0.001120128	0.001136102
CNN2	0	0.000270426	0.003566963	0.000286503	5.76573E-05	0	6.7897E-05	0.003981204	3.71318E-05	3.35202E-05	0	0.000181604	0.000350973	0.00139233
CNTNAP2	0.000736155	8.54694E-05	0	1.05875E-05	1.73902E-05	0	0.000119448	0	1.85119E-05	0	0.001059538	3.59106E-05	0	0
CNTNAP3	1.22076E-05	8.01193E-05	0.003233895	0.000128152	0	0	0	1.18975E-05	0	9.19922E-05	8.90675E-06	8.44981E-06	2.50626E-05	7.25386E-06
COL1A2	0.000151033	1.20506E-05	5.66234E-05	0.000632231	0.000103113	0.00035168	0.000270557	0.000285526	2.57014E-05	0	9.64469E-05	0	0	0.000107489
COL27A1	0	1.49452E-05	0	0.00018218	0	0	0	0	1.40999E-06	0.003632329	6.31266E-05	0	0	0
COL3A1	4.24397E-06	0	5.94485E-05	0.000699348	0	0	0.000120232	0.000145099	0	0	3.3929E-05	3.99103E-05	0	0.000179324
COL4A1	2.34236E-05	3.39506E-05	0.000144021	0.000490682	7.58403E-05	0.000141437	9.58804E-05	5.52566E-05	2.65195E-05	0.000105587	0.000179577	0	0.000143636	0.000182577
COL6A1	0.000123492	0.000172431	0	0.00044991	1.37409E-05	0	0.000177645	0.000131578	5.7236E-05	0	0.000252025	0.000118402	0.000398863	6.66185E-05
COL6A2	3.5446E-05	0.000217674	2.52093E-05	0.000267658	6.29997E-05	0.000102822	0.000235208	0.000221822	1.27973E-05	3.53753E-05	9.58648E-06	5.6556E-05	0.000316083	3.61265E-05
COLEC12	0.000158822	0.000241704	0	0.003025743	1.59517E-05	0	0.000144921	0	0.000124244	0.000238497	5.72781E-05	0.000167026	0.00103709	0.000220892
COQ7	0.000870403	0.000254042	0.00056075	2.56995E-05	0.000388221	9.92341E-05	0.000290635	0.000209861	0.000245526	7.20653E-05	0.001063316	0.000712883	0.000289382	0.00037874
CORO2A	0.000184432	0.000376005	0.000266326	3.96714E-05	7.28773E-05	0	0	0.000123851	0	0.000185038	2.48572E-05	7.9208E-05	0.001232414	0.000453874
COTL1	0.001610917	0.001019893	0.00145649	0.000889308	0.000317212	0.000352363	0.000743081	0.002997627	0.000908311	0.00058111	0.000341572	0.000261676	0.00061185	0.002023597
COX6A2	0.001279378	0	0	0	0	9.48856E-05	0	0	0	0	0	0	0.00030372	0
CP	6.77207E-05	5.78455E-05	1.40614E-06	0	9.5635E-05	0.000153846	2.10548E-05	2.76334E-05	4.14821E-05	0.000286627	0.000125185	0.000247996	3.34647E-05	6.60836E-05
CPB2-AS1	0.000620149	1.29081E-05	0.001061048	0	0	4.85473E-05	0.000674552	6.08204E-05	4.97306E-05	0.00028381	9.16356E-05	0.000737137	2.02459E-05	3.39399E-05
CPD	0.000368574	0.000417825	0.005122768	0.000471026	0.000178454	0	5.38576E-05	8.30867E-06	0.000316466	0.000491397	0.000474318	0.000375925	0.000341268	0.002202808
CPE	0	0.000102672	9.44454E-05	0.000172898	6.79129E-05	0.000200974	0.000267935	0.000243134	0.000141073	0.000161114	0.000901371	8.83631E-05	8.27726E-06	0.000155515
CPM	0.001309648	0.002358757	0	1.95673E-05	0	0.00029917	5.01956E-05	0	0	0	0.000626951	0.000425165	0.002884139	4.01325E-05
CPNE3	0.000859068	0.000675946	0	0.000486757	0.000237368	0.00017351	9.27878E-05	0.004538475	5.8272E-05	0.00063199	0.000615998	0.000263818	0.000564433	0.000200624
CPVL	0.001835487	0.002200894	0	0.000581506	0.000162123	0.000238367	0.000327399	0.003253328	0.000199656	0	0.000817102	4.24094E-05	0.001265183	0.000589947
CR1	0	0.001035061	0.003331693	0.001262595	0	0	0	0	0	0	0	0.000133786	0.000723474	0.001106616
CREB5	1.11549E-05	4.21862E-05	0.002584063	0.000516371	4.14019E-06	0.000233616	0.000273779	0.000732051	5.33735E-05	0.000536497	6.15033E-05	0.000289731	1.1243E-05	0.001462801
CRELD2	0.000494511	0.000853931	0	0.000546935	8.56932E-05	0.000542085	0.000415209	0.000798735	0.000768642	0.000691187	0.000280045	0.000168505	0.000647341	0.000110376
CREM	0.000521511	0.001257682	0.000430097	0.000930074	7.23811E-05	0.000275299	0.002682784	0.00086245	0	0.000663738	0.000705175	0	0	0.0004906
CRIP1	0	0	8.92787E-05	0.00033709	0.000407747	0.000106769	7.38551E-05	0.003196361	0.000579292	0.000251696	4.49265E-06	0	0.000297309	0.001940588
CRISP3	0	0	0	0	0	0	0	7.15179E-06	0	0	7.13404E-07	7.22924E-06	0	4.21072E-05
CRISPLD2	7.14619E-05	6.91767E-05	0.004435151	0.000288549	6.21591E-05	4.77608E-05	0.00012138	0	0	0	4.73485E-07	0.000282893	0	0.001247089
CRTAM	0	0.000292029	0	1.46901E-05	0.000261695	0.000362647	2.35578E-05	0.000444326	0	2.55753E-05	0.0001166	0.000685969	0.000411265	0.000521144
CRYAB	6.67336E-05	1.90227E-05	6.33665E-05	0.00020727	0	6.50329E-05	7.61969E-05	5.56031E-05	7.08154E-06	0.00065093	0.000612997	0.003400368	4.1155E-05	6.20587E-05
CRYBG1	0	0.000599498	0.000671282	0.000768763	0.000611212	0.000367544	0.000217338	0.003188917	0.000364748	0	0	7.79869E-05	0.000306385	0.0013414
CSF1	0.000121986	0	0	0	0	7.00409E-05	0.0004591	0	0.000127154	0.000324462	0.000292415	0.001616608	0.000152999	0
CSGALNACT1	0.000973239	0.001136589	0.000427846	0.000107036	3.52764E-05	0.000327383	0.000281882	0	0	0	0.002493003	0.000566506	1.57973E-05	1.33377E-05
CSGALNACT2	7.18806E-05	0.000698343	0.003151434	0.001230407	0	1.80612E-05	0.000477137	0.000408032	0.000225894	0.001665493	0.000150431	0.000168508	0.000827413	0.001987079
CSRNP1	0.000302062	0.000788968	0.001336248	0.000195566	6.19982E-05	0.000410915	0.002966942	0.001138724	1.50588E-08	0.000165549	0.00083075	0.001109466	0.000217499	0.000760342
CST3	0.000669174	0.001781757	0	0.000975211	0.000280806	0.000793494	0.000893117	0.004456529	0.000419583	0	0.000389944	0.000629365	0.000745097	0.000826708
CST6	0	0.000205944	0	0.000612675	0	0	0.000209392	9.95761E-05	0.000162612	8.18936E-05	0	3.51416E-05	1.34787E-05	0.00078004
CST7	0	4.10942E-06	0.001486015	1.35722E-05	2.72327E-05	1.84896E-05	7.34974E-05	0.004423142	1.45288E-05	0.000704413	0	2.06367E-05	0.000146266	0
CSTA	0.00020921	0.000295664	0.001259136	0.000429557	0.000523651	0.000306345	0.000290401	0.00058614	1.46166E-05	0.000296712	6.78461E-05	0.000206679	0.000660533	0.002503488
CSTB	0.000327484	9.1843E-05	0.0001241	0.000288071	0	2.47519E-06	0.000171849	0.000234193	1.84393E-05	0.003962378	8.21308E-05	0.000240636	0.003197025	0.000249042
CT70	4.75428E-05	0.000568496	4.52565E-05	6.67254E-05	7.31196E-06	0.00035227	0.000262628	8.08392E-05	0.000118966	0.00024656	0.000105009	5.93535E-05	0.00039913	0.000165658
CTLA4	0	5.25526E-05	0	0	1.54638E-05	0.000423125	0	0.002029885	0	0	0.000251484	0	3.56204E-05	0.000103611
CTNNAL1	5.69174E-05	1.76565E-05	0	0	0	7.29828E-05	0.000198258	0.000310144	0.003002578	0.000457167	4.00826E-05	0.000453286	6.41829E-05	0.000165869
CTSA	0.00067335	0.001299362	5.57689E-05	0.000824694	0.0001968	0.000533849	0.000373066	5.74317E-05	0.000516993	0.00028439	0.000296395	0.000288304	0.00335711	0.00098461
CTSB	0.001488903	0.001474546	0	0.003482774	0.00013535	7.96471E-06	0.000237316	0	8.49101E-05	0.000965304	0.000223131	0	0.002479375	0.000416659
CTSC	0.001894641	0.00292308	0	0.001626299	0.000314372	0.001351201	0.000439611	7.80509E-05	0.000424624	0	0.000721055	0.00058179	0.001882863	0.000315304
CTSD	0.000514331	0.000680083	5.82709E-05	0.00084494	7.88136E-05	0.000144969	0	0	2.84637E-05	0.001007376	1.8464E-05	0	0.005456436	4.94832E-05
CTSK	2.54004E-05	4.71351E-05	2.59061E-05	0.000114079	1.05187E-05	0	3.94551E-06	4.18692E-05	4.45509E-05	2.81936E-05	8.41116E-05	0.000149389	0.000907366	0.000128389
CTSL	0.000986593	0.00041053	0	0.0027672	3.96362E-05	0.000390869	0.00012758	0	3.64697E-05	0.001689049	0	0.00016672	0.002292368	0.00042418
CTSZ	0.00109774	0.001630699	1.09521E-05	0.001473504	0.000179881	0.000699344	0.000793144	0.000647211	0.000487685	0	0.000374989	0.000740917	0.003728584	0.000174156
CTTNBP2	0.001215794	0.00016281	0	0	0	0	0.00033014	0	0	0	0.003107582	9.32313E-05	0	0
CU638689.4	0.00031378	0.00037579	6.13417E-05	0.000363242	3.24274E-05	0.000722987	0.000125077	2.80377E-05	0.000445148	1.56408E-05	0.000471526	0.000191717	6.18644E-05	3.35729E-05
CX3CR1	0.002738821	0.000427565	0	1.29351E-05	2.28512E-05	0.000345062	0.000781782	0	0.000196621	0	0.002222199	4.38909E-05	0	0
CXADR	0.000950617	0.000904648	0	0.001436217	0.000228396	0	0.000916896	0	0.000101565	0.001221469	6.23781E-05	0	0	0.000126618
CXCL1	0	0	0.000566119	0.001468064	5.69507E-05	0	0.000441992	0	9.31587E-05	0.000137641	0	0	0.000237856	0.000740295
CXCL10	0	0	0	0	2.2932E-05	0.007018037	0	6.92991E-05	0	0	0	0	0	0
CXCL11	0	0	0	0	0	0.004545936	0	0.000410911	0	0	0	0	0	0
CXCL12	0.000322907	0.000369126	0	7.26994E-05	0	0.00058943	2.91867E-05	0	0	0	0.002107506	0.00065444	0.000689617	0
CXCL14	0.000315146	0.000367008	0.000649491	0.000186713	3.83106E-05	6.65269E-05	0.000171832	0.000297622	0.00013371	0.00023149	0.000967986	7.541E-05	4.42724E-05	0.00015859
CXCL2	0	8.16926E-05	0	0.000878342	0	0	0.001581601	5.497E-05	0.000172015	2.16591E-05	0.000102849	0.000428135	0.000506924	0.001187745
CXCL3	0	3.88415E-06	0	0.001057856	1.33829E-05	0	0.001492542	0	0.000183422	0.000159223	0	0.000124249	4.8026E-05	0.001286594
CXCL5	0	0	0	0.000359359	0	0	7.75872E-05	0	0	0.00020737	0	0	0	0.001152479
CXCL8	0	0	0.001565717	0.000368327	9.56158E-05	0	0.003388674	0	0.000128867	0.001045273	0.000394572	0.001296877	0.000241782	0.000616297
CXCL9	0	0.000102538	0	0	0	0.001521885	0	0.000761064	0	0	0	0	7.24026E-05	0
CXCR1	1.18549E-05	0	0.005750324	0	0	0	0	6.37532E-06	0	0	8.34955E-06	0	1.79809E-07	0.000202995
CXCR2	0.000606029	0.000198946	0.006394632	0	0.000485698	0.000102228	3.60018E-05	4.01008E-05	3.86932E-05	0	5.4445E-05	0.000115507	4.72037E-05	8.89059E-05
CXCR4	0	0.000778959	0.001950129	0	1.09816E-05	0	0.000962461	0.002252548	0	0.000229474	0.002542744	0.000637565	0.000674717	0.000707616
CXorf21	0.000496487	0.000219103	1.91679E-05	0.000148549	0.000981249	0.000593947	0.001511361	0.000522093	1.01973E-05	0.000113533	0.001431994	0.000186703	0	6.29151E-05
CXXC5	0.000475196	0.000156985	0	0.000194237	0.00022466	0.000114098	5.37263E-05	0.000121473	0.000153967	0.002369721	7.91572E-05	0.000171964	0.00142073	0.001075854
CYB5D1	2.70061E-05	3.49433E-05	0.000179811	3.3711E-05	3.71474E-05	0	0.00243394	0.000173995	0	0	0.000333247	0.000168707	0.00015836	0.000372014
CYB5D2	0.00035753	0.000298502	0	0.00010438	0.000189035	5.58844E-05	0.00020716	0.000103599	7.64037E-05	0.000118072	0.000532852	0.000403103	0.000210315	0.000149153
CYFIP1	0.00366634	0.001507969	0	0.000693467	4.79878E-05	2.56271E-05	0.001029745	0	0.000436121	0.000449371	0.001463026	6.7653E-05	0.001367503	0.000111027
CYFIP2	0.00011005	0	0.002176436	5.31868E-05	7.90894E-05	4.13271E-05	0	0.001949992	5.13261E-05	1.43617E-05	0.000192105	0.000347981	4.07473E-05	0.000720972
CYP19A1	0.001393276	0.000355039	0	0.00035265	0.000276197	0.000444254	1.97543E-05	0	6.18458E-05	0.000391734	0	0	8.75775E-05	0
CYP1B1	0	0.000219601	0	0.000382919	0	0	0.000169267	0	0	0	0	0	0.000622399	0.002365432
CYP27A1	0.000140238	0	0	0	0	0	0.000392091	1.07657E-05	0	0.000353989	9.17305E-05	0.000802921	0.004140261	0.000813507
CYP4F3	4.70623E-06	0	0.0042816	0	2.25726E-07	2.04659E-06	0	4.60079E-06	0	7.36828E-06	3.93873E-05	4.2523E-05	3.03088E-06	0.000249841
CYP51A1	0.000736714	0.000406482	0	0.000386435	0.000166789	0.000187856	0.000771932	0.000262005	0.000444258	0.000520743	0.000879138	0.000544936	0.00057097	0.000484988
CYSLTR2	0	8.32642E-05	0	5.35407E-05	6.31428E-05	0.000294642	0.000182391	0.000842897	3.19192E-05	1.49003E-05	0.000118432	1.30834E-05	0	0.000582105
CYSTM1	0.000386248	0.000108799	0.002174634	0.00015857	9.39705E-05	0.000491579	2.97217E-06	0.000460443	3.5897E-05	0.00157136	0.000167208	2.7428E-05	0.001802276	0.000658826
CYTH3	0.002036557	0.000158324	7.31068E-05	0.000137671	7.93233E-05	0.000431404	0.000251119	9.31342E-05	6.11052E-06	6.08882E-05	0.000510566	0.000108523	0.000416273	5.9183E-05
CYTIP	0.000200131	0.000110284	0.003507456	4.90189E-05	5.00352E-05	0.000745425	0.000557392	0.002400646	0.000109234	0.002383985	0.000477093	0.000293846	0.000522262	0.001486371
CYTL1	0.002286133	0.000620364	0	2.56084E-05	3.36995E-05	0.000114068	0.000404374	0	3.13926E-05	0	0.00119898	0.000121609	0.000107417	0
CYTOR	0.000158221	4.99117E-05	0.000644669	0.000766827	0.000436127	1.84774E-05	0.000516257	0.000915946	0.000995697	0.000589303	1.79471E-05	0.000247515	0.000319491	0.001382076
DAAM1	0.000916058	0.000691658	0	0.000401564	0.000475263	0	0.000332843	0.000302284	0.000110706	0.000168085	0.001525841	0.000193424	0.000462313	5.85802E-05
DAAM2	0.000100929	6.58085E-05	0.002551137	0.000813096	7.05864E-05	0	2.14385E-05	1.5814E-05	0	4.79077E-05	0.000240165	0.000221903	0.000113739	0.000243329
DAB2	0.000502254	0.001678034	0	0.002852306	0.000154318	0.000512524	0.000180986	0	0	2.84991E-05	0.001367818	0.000484716	0.003007164	3.37843E-05
DACT1	0.00056826	2.22145E-05	0	0	3.33397E-06	0.000146565	0.000209306	0	0	0	0.000634648	0.000513667	0.000100235	0
DACT3	0.001180296	2.63747E-05	0	3.41746E-06	1.84102E-05	0	1.75598E-05	8.13747E-06	0	0.001502437	0.000112025	0.000376268	0	0
DAPK1	0	0.001081226	5.20859E-05	0.001389104	2.70421E-05	5.14013E-05	0.000255468	0.000734151	0.000226522	0	3.07944E-05	0.000361619	0.001804601	0.000891181
DAPK2	2.59735E-05	0.000153103	0.002957849	0.000134929	0.000140872	0.000268031	0	0.001419368	6.56261E-05	0	0.000126791	6.38659E-05	3.33206E-06	1.44689E-05
DAPP1	0.000627785	0.000299964	0.000705617	0.000217754	0.000198818	0.001278733	0.000175798	0.004105267	9.0958E-05	0.000267019	0.000431927	0.000457006	0.000188579	0.000456879
DBF4	0.000181158	0.000403302	0	0.000129713	0.002355386	0.00011096	0.000401494	0.000680721	0.000430784	0.000176157	0.000401187	0.000602962	0.000456885	0.000312366
DBI	0.002150424	0.000811564	0	6.71506E-05	0.000596985	0.00092314	0.001584248	0.000605275	0.000261741	7.61087E-05	0.001058241	7.17984E-05	0.001847779	4.07752E-05
DCSTAMP	3.30549E-05	0	0	0.000108428	0	0	0.000593109	0	0	0.000759204	0	0.000575844	0.000592092	0.000238024
DCTPP1	0.000559389	0.000776128	0	0.000424619	0	0.000290307	0.000117288	0.000844327	0.002821917	5.32095E-05	0.000117548	0.000188328	0.000554001	7.65149E-05
DDIT3	0.000200542	0.000418604	0.001020261	0	0.000195395	0.000272664	0.001550723	0.00055008	6.192E-05	0.000553819	0.001000779	0.003209698	0.000446289	0.000300632
DDIT4	0.000796641	0.000892775	0.000460169	0.000245303	0.000187413	1.11609E-05	0.000224197	0.0008959	2.21236E-05	0.001432915	0.002206795	0.00262496	0.000172419	0.000370226
DDX3Y	0.000307802	0.00017461	0.000620985	0	0.000158722	0.000499402	0.00184272	0.000441067	2.93537E-06	0.000156001	0.002057303	0.001950155	0.000225497	0.000304877
DDX58	0.000204185	0.000247817	0.000750036	0.000151161	0	0.008951084	4.86558E-05	3.14372E-06	0	0	0.000387285	0.000200281	4.32232E-05	0.000172356
DEFA3	0.000139723	0	0	1.80354E-05	0	0	2.92127E-05	4.248E-05	0.000136393	5.02234E-06	0	0	0	6.30825E-06
DEFA4	0	0	0	0	0	0	4.00441E-05	8.00142E-07	0.000129816	1.24662E-05	0	0	0	3.02228E-05
DEK	0.000855516	0.000975168	0.000257957	0.001007785	0.001866797	0.001029807	0.000363545	0.00081393	0.003885279	0.00064638	0.001051939	0.000401173	0.000397845	0.000782437
DEPDC1	0	0	0	9.3754E-06	0.007284004	6.1021E-06	0	3.52957E-06	0.000280688	1.78006E-06	0	0	0	0
DEPDC1B	0	0	0	0.000170701	0.00478892	6.87359E-05	0	6.22249E-05	0.001107331	0	0	3.47364E-05	0	0
DEPP1	7.03826E-05	0.000157312	0	0.000104498	2.71868E-05	0.000152282	7.16948E-05	6.99854E-05	4.27634E-05	0.000763328	5.6358E-05	0.000730491	2.57887E-05	5.82973E-05
DGAT2	6.45546E-05	0	0.004141318	0	0	0	0	0.000668762	1.71048E-05	1.09205E-05	0	0	0	0.00148752
DGKH	0.00017382	0.000171182	0.001361284	0.000775687	0	5.21895E-05	6.38034E-05	0.000124715	0.000340112	0.00018082	0.000134818	0.000128117	0.000248887	0.000452427
DHCR24	0.000294987	5.25473E-05	9.27829E-06	0.000297361	0.000224834	1.9447E-05	0.000163309	0.000117283	0.000896063	1.35914E-05	0.000150007	0.00011641	7.44529E-05	0.000175989
DHDH	0.000180536	2.42665E-06	0	0	0	0.000179867	0	0	0	0.000787509	6.09522E-07	0	0.001731291	0
DHFR	0.000161354	0.000145998	4.26452E-05	0.000137869	0.000530069	7.61449E-06	9.71808E-05	5.48516E-06	0.006127106	4.864E-05	0.000163487	0	0.000185319	5.53642E-05
DHRS9	0.00192639	0	0.000503465	0	0	0.000153264	0	5.53926E-05	0	0	0.00168273	1.7951E-05	0.000268304	3.766E-05
DIAPH3	0	0	0	0.00014543	0.003198487	0	4.14312E-05	0	0.004009476	0	0	0	8.34304E-06	0
DIO2	0.000738824	6.57591E-05	1.14579E-05	8.48217E-06	4.04584E-05	2.8533E-05	9.61213E-05	9.14508E-06	0	6.71856E-05	6.60033E-05	3.33853E-05	7.45625E-05	3.8849E-05
DIXDC1	0.000138725	0	4.33775E-05	0.0007653	6.25591E-05	0	5.7965E-05	0	1.36914E-05	0.000859102	0.000137544	1.86838E-05	0	0.000489937
DKK2	0.000464869	3.15588E-05	0	8.32602E-05	0.000117433	4.18687E-06	9.23148E-05	4.3554E-05	0	4.16009E-05	0	0.000107012	0.000105402	2.17238E-06
DLEU1	0.00085932	0.000633806	0	0.000367627	0	0.00095865	0.000550278	0	0.000141909	0	0.001947581	0.00047357	0	8.43664E-05
DLGAP5	0	0	0	0	0.008225831	0	0	0	4.26639E-05	0	0	0	0	0
DLL1	8.32534E-05	0.000242234	2.73705E-05	0.000852688	0	0.00011017	3.17158E-05	8.54549E-05	0	3.06609E-05	0.00045329	0.00055426	0.000280935	4.65864E-05
DMXL2	0.000341957	0.001000484	0.000360898	0.0018852	0.000457779	7.94502E-05	0.000286672	0	0.000247476	0.000572007	0.000160212	0.000321419	0.001334138	0.002416592
DNAAF1	0.000462897	5.12677E-05	4.54777E-05	0	0	0	0.001579727	0	0	0	0.000426051	0	0	3.25348E-05
DNAH17	1.75849E-05	3.09385E-05	6.3606E-05	7.54113E-05	1.85315E-05	9.63095E-05	0.00037056	2.81136E-05	0	4.87302E-05	5.81664E-05	5.63223E-05	2.01224E-05	0.000995369
DNAJA1	0.000351073	0.000552316	0.000679536	0.000345111	0.000338209	0.001140243	0.002154417	0.000744521	0.000382553	0.000378211	0.000753319	0.010683221	0.000530995	0.000612235
DNAJA4	2.58059E-05	0.00022381	0	0.000402192	2.53332E-05	0	0.000802193	1.74388E-06	0.000197188	0.000231914	5.21969E-05	0.012913116	0	0.000245286
DNAJB1	0.000280687	9.02107E-05	0.000530687	0.00026707	0	7.40063E-05	0.001114853	0.000107414	4.37236E-05	0.000401509	3.28262E-05	0.017824146	5.85548E-05	0.000357547
