	NPC-like	AC-like	MES2	MES1	OPC-like
CCDC168	0.000184068	-7.55E-05	2.92E-05	-2.19E-05	3.59E-05
CCDC170	-1.34E-05	0.000641647	-0.000184895	-6.66E-05	-5.88E-05
CCDC3	-5.80E-06	0.000402808	0.00080653	-0.000140927	-2.53E-05
CCDC71L	0.00010692	-0.000331602	0.000526141	0.002237733	-0.000278596
CCDC80	-0.000295145	0.00147443	-0.000629046	0.000227078	-0.000897008
CCK	0.000666473	2.63E-05	1.80E-05	-6.05E-06	-0.000170909
CCL18	-2.51E-05	-3.08E-05	0.000465653	-5.73E-05	-2.60E-05
CCL2	-0.00026424	0.000131975	-4.11E-05	0.002868758	-0.000496633
CCL20	-5.29E-05	-1.22E-06	0.000774988	0.000118126	-0.000127412
CCL3	0.000643523	-3.20E-05	0.000679957	-0.000141197	-0.000121102
CCL5	9.83E-05	-2.85E-05	0.000534485	0.000512226	-0.000161925
CCL7	-4.05E-05	-0.000150789	0.0005349	0.000387802	-5.88E-05
CCL8	3.47E-06	0.000600476	0.000114485	1.82E-05	-9.14E-05
CCN1	-0.000182356	0.000315982	0.000471495	0.00262749	-0.000795029
CCN2	-0.000155521	0.00043377	-0.000134153	0.001598306	-0.000337571
CCN3	-7.22E-05	0.00032078	0.001087832	0.000312457	-0.0003825
CCN4	-0.000235736	0.000147005	-4.06E-05	0.000217421	-0.000453808
CCN5	-1.87E-05	3.89E-05	0.000183855	3.52E-05	-3.64E-05
CCND1	0.000287328	-0.000616455	-0.000435611	-0.000227369	0.002496346
CCND2	0.003826133	-0.000491809	-0.000232732	-0.000207271	0.00040876
CCR5	-9.09E-06	6.10E-05	-8.81E-05	0.000304588	-9.60E-05
CCR7	0.000248247	-5.60E-05	0.000157831	0.000129174	-0.000110015
CD109	-0.000212033	0.000733281	0.000476188	0.000728125	-0.000523777
CD151	-0.000625378	-0.000211278	0.000326283	0.001124132	-0.000554179
CD1C	3.49E-05	1.61E-05	-5.44E-05	8.27E-05	-5.30E-06
CD2	0.000222017	-5.63E-05	0.00019195	0.000423832	-0.000175752
CD24	0.00278545	0.000147814	-0.000597111	-0.00014139	0.002749805
CD244	1.47E-05	-1.48E-05	4.35E-05	0.000105226	-2.51E-05
CD274	-0.000228101	-0.000411514	0.000213079	0.001032263	-0.000411319
CD27-AS1	0.004172977	0.000211827	-0.000279562	-0.000110545	5.90E-05
CD36	6.28E-05	0.000270342	0.000406244	-0.000128334	0.000112583
CD38	0.000178416	0.002235502	-0.000416204	-0.000196943	-0.000129243
CD3D	8.52E-05	-3.41E-05	1.42E-05	0.000514644	-0.00015273
CD44	-0.000676907	0.001957257	0.00023318	0.002337789	-0.00122301
CD69	0.000281106	-3.00E-05	5.48E-05	0.000429048	-0.000147403
CD74	-0.000263487	0.002353952	-0.000589472	-0.00045894	-0.000633351
CD82	0.000752034	-0.000204202	0.000168128	0.000527375	0.002152672
CD83	-0.000105913	0.001085961	0.000507137	0.0007465	-0.000504982
CD8A	0.000205129	7.77E-06	6.56E-05	0.000334024	-0.000142999
CD93	-1.82E-05	-1.15E-05	0.000213929	-2.15E-05	-0.000104248
CD99	-0.000633539	0.001022041	-9.26E-05	0.002662949	-0.001104978
CDC20	-0.000113179	-8.71E-05	-7.80E-05	-0.000129917	-0.000139927
CDC6	1.58E-05	-0.000271045	7.83E-06	-5.34E-05	-9.42E-05
CDCP1	-0.000202891	0.000756756	0.000368607	-0.000124878	-0.000369331
CDCP2	-2.67E-05	7.97E-06	-2.23E-06	4.88E-05	4.01E-05
CDH19	-7.24E-05	-0.000109965	0.000152817	1.06E-05	-6.32E-05
CDH3	0.000120804	0.00013965	0.000232051	-0.000128684	-2.03E-05
CDH5	-7.78E-05	-0.000303006	0.00048015	0.000116502	-0.000202922
CDH6	-0.000310477	-0.000290148	0.000373668	-5.96E-05	-0.000517052
CDH8	0.001257586	-0.000283923	0.000313433	0.000280121	-0.000297102
CDK4	0.000387786	-0.0004961	-0.000306682	-0.000193406	-7.04E-05
CDK5R1	0.003564417	-0.000574452	-0.000450582	-7.77E-05	0.001577704
CDK6	0.000157397	-0.001276853	-0.000147514	0.000852136	-0.000719828
CDKN1A	-0.000226368	-0.000189796	0.000151292	0.002110222	-0.000380732
CDKN1C	0.002305785	-0.000230873	-0.000124384	2.86E-05	0.000207544
CDKN2A	0.000352511	-0.000128322	0.000258432	-0.000285075	2.44E-05
CDKN2B	7.06E-05	0.000181151	0.002434309	-0.000376604	-8.97E-05
CEBPD	-0.000726121	0.000740929	0.002217998	0.001176691	-0.001224673
CELF4	0.00322698	-0.000393661	-0.000346156	-6.65E-05	-0.000103488
CELF5	0.003896193	-0.000446744	-0.000405289	-0.000103837	0.000301593
CEMIP	-0.000199199	-0.000123748	-0.000129068	0.001344273	-0.00035362
CENPF	-3.37E-05	-0.000167842	0.000129588	2.04E-05	-0.000160772
CENPU	7.41E-05	-0.000314464	-0.000110471	-3.62E-05	3.31E-05
CFB	-0.000269683	0.001304599	0.000445743	0.000646761	-0.000483117
CFH	-0.000503035	0.001624506	-0.000763487	-0.000543667	-0.000801368
CFI	-0.000439336	0.001176635	-0.000765284	0.00164853	-0.000933675
CH25H	-0.000151563	0.001303923	0.00018575	0.000519589	-0.000407918
CHD7	0.002739034	-0.000820254	-0.000635498	9.98E-05	0.003081941
CHGB	0.003291262	-0.000709594	-0.000643971	-9.76E-05	0.00270015
CHI3L1	-0.000507606	0.000629722	9.02E-05	0.003117838	-0.000917643
CHI3L2	-0.000288462	0.001650929	0.000816321	0.000494927	-0.000506673
CHIT1	-0.00010213	-0.000192298	0.000320863	0.001241149	-0.000179891
CHL1	-0.000129174	0.001002379	-0.000716331	0.00182477	-0.001427435
CHODL	-0.000149863	3.48E-05	-0.000236864	-0.000139834	-0.000309281
CHPT1	-0.000375619	0.000674567	-0.000437172	0.001700422	-0.000548976
CHRDL1	0.000204381	-6.57E-05	-0.00044965	0.001058267	-0.000122471
CHRM3	-0.000209395	-0.000499783	0.00078714	0.000270943	-0.000418304
CHRNA1	-6.06E-05	-0.000102665	6.16E-05	-0.000127664	-2.66E-05
CHRNA3	0.00037347	-0.000139217	1.65E-06	0.000156751	-0.000214763
CHRNA9	-0.000285356	-0.000445918	-7.68E-05	0.0003871	-0.000580464
CHST2	-0.000358664	-0.00020162	-0.000441395	0.002804594	-0.000706964
CHST8	0.000149935	-0.000191231	9.17E-06	4.15E-06	-7.13E-05
CITED1	-0.000148528	-0.000347704	-0.000619554	0.002243728	-0.000529638
CITED2	0.000371315	0.000584311	0.001360119	0.000143201	-0.000264725
CLCA2	-2.90E-05	-3.13E-05	5.88E-06	5.09E-05	-3.77E-05
CLCF1	-0.000252016	0.000423891	0.00036383	0.001801478	-0.000482587
CLDN11	-0.000102446	0.000384604	-0.000215613	0.000210635	-3.64E-05
CLDN5	-8.69E-05	0.000173912	2.25E-05	4.62E-05	3.78E-05
CLEC14A	-6.13E-05	9.79E-06	8.27E-05	-4.17E-05	3.69E-05
CLEC2B	-7.16E-05	-0.000175379	0.002378116	-0.000173075	-9.17E-05
CLEC5A	-6.29E-05	9.10E-05	0.000237722	2.04E-05	-5.39E-05
CLEC9A	0.000498115	-5.12E-05	0.000125818	-0.000100844	-0.000278876
CLIC4	-0.000471603	0.0005386	0.000167717	0.002284605	-0.00086634
CLMP	0.000418611	-0.000400337	0.000225791	-4.68E-05	-0.000481543
CLSPN	0.000135361	-0.000291219	-5.60E-05	-9.90E-05	-9.77E-05
CLSTN2	0.001576138	-0.00039393	-0.000106512	-0.000152171	0.001711102
CLSTN3	0.003309919	7.90E-05	-0.000348367	0.000209066	-0.000592458
CLU	-0.00062104	0.001985556	-0.001076634	0.002422625	-0.001038626
CLVS2	-0.0002384	-0.000327896	-0.000297706	-6.57E-05	0.002819175
CMKLR1	-0.000292205	-8.36E-05	-0.000153959	2.86E-05	0.000968124
CMYA5	-0.000286715	-0.000174325	-0.000324402	0.000632344	-0.00058387
CNIH3	-0.000352356	-0.000731317	-0.000382248	0.001665616	-0.00063376
CNN1	-0.000157868	0.001627749	0.00014258	-0.000164382	-0.000300235
CNN3	-0.000463089	0.00069396	6.11E-05	0.003073702	-0.001092089
CNR1	-0.000150121	-0.000423381	-0.000232255	0.001556804	-0.000747535
CNTN1	0.004457748	0.000236347	-0.000713355	-0.000153164	0.000614219
CNTN2	-0.000215219	-0.000323899	-0.000556336	0.001334297	-0.00042636
CNTN3	0.002062172	-0.000155074	-0.000303328	-5.06E-05	0.000503253
CNTNAP2	0.001757417	4.14E-05	-0.000430129	0.000525229	0.000353309
CNTNAP3B	-0.000282064	-0.000340823	-0.00019018	0.001247135	-0.000629104
COL11A1	0.00041126	0.000162991	-0.000186351	-0.000323701	0.00071192
COL12A1	-0.000192223	6.95E-05	-0.000115497	0.00019908	-0.000271767
COL14A1	-0.000102854	0.000638124	-0.000564629	0.000135007	-0.00036401
COL18A1	-0.000209303	-5.90E-05	-0.00047636	0.000127014	-0.000232991
COL19A1	0.000690347	-0.000179192	-0.000154659	8.93E-05	-0.000361607
COL1A1	-0.000123968	-0.000137448	-2.85E-05	0.000396504	-0.000272162
COL1A2	-0.000240122	-8.52E-05	-0.000301517	-0.000153226	-0.000496208
COL20A1	-1.11E-05	-0.000603555	-0.000355867	-0.000147015	0.003803947
COL21A1	9.55E-05	0.000653209	-4.80E-05	-0.000146686	-0.000114241
COL22A1	-0.000160492	-0.000291606	0.000699533	0.000226927	-0.000424361
COL23A1	-0.000229123	-0.000209348	6.60E-08	0.000801415	-0.000339835
COL2A1	-3.27E-05	0.000133546	6.74E-05	-9.97E-06	1.67E-05
COL3A1	2.44E-05	-0.000102757	6.34E-05	0.000400024	-0.000226295
COL4A1	-0.000418017	-0.000231861	0.000833925	0.001260199	-0.000890249
COL4A2	-0.000526224	-0.000298886	0.000790584	0.001816659	-0.000958589
COL5A1	-0.000452148	-0.000218455	0.001098569	0.000948946	-0.000757794
COL5A2	-0.000352252	-0.000248657	-0.000321662	0.000575558	-0.000673487
COL6A1	-0.000325796	0.000448751	0.001011066	0.001089863	-0.000704717
COL6A2	-0.000444075	0.000507451	0.000961409	2.54E-05	-0.000790367
COL6A3	2.38E-05	-0.000137267	0.000253042	0.000221892	-0.000107938
COL6A5	-2.93E-05	-7.05E-05	3.84E-05	8.29E-05	-4.23E-05
COL8A1	-0.000349986	0.000356246	-0.000951598	5.81E-05	-0.00061508
COL8A2	-0.00024695	0.000221761	5.20E-05	1.58E-06	-0.000422589
COL9A1	0.002895303	-0.0001895	-0.000290755	1.56E-05	7.12E-05
COL9A3	-3.20E-05	-0.000547753	0.000265184	-0.000272245	-0.00017091
COLEC12	-0.000377426	0.002744375	-0.000819171	0.000389189	-0.00075041
CORO2B	-0.00035109	-0.000617918	-0.000215591	0.00095209	6.74E-05
COX4I2	-7.00E-06	-6.09E-06	0.000246311	7.83E-07	-1.86E-05
CP	-0.000254838	0.003345099	-7.41E-06	1.60E-05	-0.000670483
CPA4	-0.000137648	-0.000118618	0.001712819	-0.000146793	-0.000217146
CPB1	-5.40E-07	2.68E-05	0.000131309	4.54E-05	1.76E-05
CPD	-0.000301169	0.000258983	0.000194945	0.002150564	-0.000578287
CPE	-0.000238083	0.00151187	-0.000169155	0.001650085	-0.00023753
CPM	-6.52E-05	0.000387735	-0.000217644	-0.000125794	-0.000134595
CPNE6	-1.80E-05	0.000590243	-0.000160259	-6.21E-05	-4.01E-05
CPVL	-0.000369422	-0.000249508	-0.000311482	0.002607646	-0.000688294
CPXM2	-5.53E-05	0.000302568	-9.50E-05	-8.64E-05	-7.84E-05
CRABP1	0.00105762	-9.38E-05	-7.16E-05	-2.46E-05	-0.000420604
CRB2	-0.000382401	0.002878754	-0.000236194	0.000791267	-0.000708293
CREG2	0.001516857	-0.000297234	0.000349021	0.000105919	-0.000557615
CRH	3.86E-06	-2.80E-05	-1.25E-05	6.56E-05	-2.21E-05
CRISPLD1	-0.000223051	0.002845158	-0.001043591	0.000141312	-0.000550524
CRISPLD2	-0.000151486	-0.000185016	-1.63E-05	-4.55E-05	0.000161833
CRLF1	4.64E-05	0.000379893	2.31E-05	2.36E-06	-2.30E-05
CROT	-0.000203752	0.000675832	-0.000709166	0.000993151	-0.00070096
CRTAC1	-0.00045073	-0.000258276	9.18E-05	0.000768797	0.00206375
CRTAM	-7.02E-06	-9.62E-06	-1.64E-05	0.000219856	-2.24E-05
CRYAB	-0.00042971	0.003292895	-0.000251063	0.000311063	-0.0001264
CRYBB1	0.000101344	0.0002371	-4.75E-05	-4.14E-05	-5.46E-05
CRYBG1	-0.000177596	0.000360387	-0.000151436	-0.000131425	-0.000428623
CRYBG3	-0.000577157	-0.000272249	0.000801253	0.00172736	0.000196158
CSAG3	-6.72E-06	-7.27E-05	0.000524471	-6.49E-05	-2.30E-05
CSF1	-0.000326339	0.000314921	-0.000202545	0.002458484	-0.000723791
CSF3	-8.08E-05	-0.000121777	0.000816031	0.000764707	-9.54E-05
CSMD3	0.000351769	-0.000326586	-0.000465584	-0.000102952	0.003421142
CSN1S1	1.57E-05	-4.61E-05	-3.86E-05	-2.39E-05	-4.11E-05
CSPG5	0.000532178	-0.000438294	-0.000807784	-0.000377007	0.003067554
CSRP1	-0.000556943	0.003690129	-0.000288332	0.000103297	-0.000885019
CSRP2	-0.000359146	-0.000292352	-0.001044284	0.003270514	-0.000691465
CST3	-0.000672716	0.001036773	-0.000643943	0.000588564	-0.001052266
CSTB	-0.000167728	0.000813309	0.002299896	0.000270005	7.49E-05
CTAGE15	-1.44E-05	-1.75E-06	0.000170624	-2.48E-05	-2.69E-05
CTDSP2	0.000209838	-0.000225743	-0.000393876	0.000194108	-0.000203003
CTHRC1	9.44E-05	6.39E-05	0.000868314	-8.70E-05	0.000127137
CTLA4	8.98E-05	4.78E-06	-5.20E-05	0.000189166	-7.91E-05
CTSB	-0.000456851	-0.000303253	-0.000399925	0.002337865	-0.000778733
CTSC	-0.000190188	-0.000451335	-8.43E-05	0.000220059	-0.000438043
CTSD	-0.000176885	8.95E-05	0.000675483	0.00275777	-0.000365578
CTSH	-0.000175782	0.00284203	0.00025279	0.000253512	-0.000380794
CTSS	-0.000217655	0.000221526	0.00106665	0.001519261	-0.000458229
CTTNBP2	0.003014699	-0.000394755	-0.000600034	-0.000115475	0.002398698
CTXND1	0.000125505	0.000636288	0.000185432	-0.000119056	-2.82E-05
CUL4A	0.000172943	0.000143732	0.00044527	0.000732589	-0.000163509
CX3CL1	-0.000101073	0.001465044	-1.24E-05	0.000765149	-8.36E-05
CXADR	0.002060566	-0.000269292	-0.000461853	0.000216575	7.83E-05
CXCL1	-4.76E-05	-5.57E-05	0.000311604	0.000195676	-0.000106874
CXCL10	-7.96E-05	0.000300672	0.000113733	-5.87E-05	-0.000152705
CXCL11	-8.00E-05	5.64E-05	-6.32E-05	-8.72E-06	-0.000154569
CXCL12	-4.69E-05	-0.00037756	-0.000334852	0.001433364	-0.000139308
CXCL13	-1.64E-05	4.66E-05	3.59E-05	-4.26E-06	-2.77E-05
CXCL14	7.05E-05	3.48E-05	-0.000320067	0.001105298	-0.00057059
CXCL2	-0.000225167	0.000632604	0.002079527	0.00075175	-0.000430976
CXCL3	-0.000150915	-1.65E-05	0.001357423	0.001390958	-0.000281705
CXCL5	-5.26E-05	-5.56E-05	0.000398929	0.000630755	-8.82E-05
CXCL6	-3.09E-05	-1.59E-06	0.000318014	0.00010128	-4.08E-05
CXCL8	-0.000212051	-8.81E-05	0.002331719	0.000482314	-0.000309228
CXCL9	-3.88E-05	1.73E-05	-1.95E-05	-7.52E-06	-5.96E-05
CXCR4	9.40E-05	-5.79E-05	0.001164489	0.000289626	-0.000570146
CXXC4	0.002731778	-0.000243624	-0.000583374	-0.000152382	0.002184929
CYP1B1	-0.00013493	-0.000121318	0.000227243	0.001433744	-0.000235978
CYP24A1	7.19E-05	9.83E-05	9.06E-05	9.01E-06	-6.60E-05
CYP26A1	-7.93E-06	-2.60E-05	-6.32E-06	-1.59E-05	-2.32E-05
CYP26B1	6.07E-05	0.000115003	0.000183388	7.45E-05	-7.76E-05
CYP4B1	6.84E-07	6.84E-05	-1.76E-05	-4.77E-06	-3.32E-05
CYYR1	0.000166668	1.97E-05	3.47E-05	-4.02E-05	2.43E-05
DAAM2	0.000144927	0.002368706	-0.000363791	-0.000271978	-8.72E-05
DACH1	0.00107275	0.000566301	-0.000278625	-0.000159092	-4.71E-05
DACT2	0.000563567	0.000162104	-0.000178995	0.000486609	-0.000148735
DBH	-2.89E-06	-3.46E-06	-3.18E-05	1.93E-05	2.45E-05
DCBLD2	-0.000175545	-0.000573814	0.00051785	0.001721455	-0.000504361
DCC	0.001798136	-0.000436527	-0.000325817	-0.000115776	-0.000265021
DCDC2C	2.70E-06	-0.000122363	0.000827659	-6.80E-05	-3.93E-05
DCLK1	0.000296381	0.002694117	-0.000873113	0.00197719	-0.001028089
DCN	-7.16E-05	-1.66E-05	-3.29E-05	-1.29E-06	-0.000153127
DCT	-0.000218299	7.50E-05	-2.99E-05	9.42E-05	0.000820815
DCX	0.004212862	-0.000665873	-0.000601778	-0.000165979	0.001057234
DDIT3	0.000152403	-0.000116649	0.002205005	0.000455005	-0.000197892
DDIT4	0.000196107	-4.14E-05	0.002430075	-0.000415086	0.001057277
DDIT4L	-0.000348931	0.001643677	0.001127735	-0.000260181	-0.000551919
DDR2	-0.000276727	0.001332788	0.000388173	0.000313364	-0.000471646
DDX1	0.00078356	-0.00011383	-1.58E-05	0.000447839	9.49E-05
DDX3Y	0.001922574	-0.000235498	0.00036631	-0.000368788	-7.80E-07
DEFB119	-0.000203863	-2.84E-05	-3.44E-05	-1.40E-05	0.000577552
DEPP1	-0.000261758	0.000427077	0.000376828	0.00091821	-0.000558971
DES	-0.000121432	-0.00042555	-0.00026694	0.001472228	-0.000243635
DGKI	0.002898572	-0.000358895	-0.000239612	-6.85E-05	0.000785982
DHCR24	-0.000561403	8.24E-05	-0.000249392	0.000366401	0.001458505
DHRS2	2.58E-05	-5.03E-05	2.66E-06	-1.99E-05	0.000274769
DHRS3	-0.000372188	0.00071681	0.00083696	-4.66E-05	-0.000657345
DIO2	2.35E-05	-0.000246256	9.03E-05	0.000280517	-0.000277372
DIO3	5.08E-05	0.000620572	-0.000108931	-4.85E-05	-1.46E-05
DIRAS3	-0.00029251	-8.72E-05	-0.000356279	0.001014546	-0.000545602
DKK1	-0.000146013	-0.00028248	-0.000347518	-0.000227161	-0.000248875
DKK2	-3.51E-05	-7.04E-06	-0.000151717	-0.000105072	-0.000111273
DKK3	-0.000198434	0.002421067	-0.000915617	0.001363737	-0.000884713
DLC1	-0.000536797	-0.000281729	-0.000538321	0.002119655	-0.00105491
DLGAP1	0.000823649	-0.000491375	-0.000563736	-1.93E-05	0.003601543
DLGAP1-AS5	0.000153258	3.37E-05	-2.48E-05	-1.29E-05	-7.22E-05
DLL1	0.00285744	-0.000568049	-0.000544982	-5.46E-05	0.002018152
DLL3	0.002510457	-0.000648649	-0.000612897	-0.000142857	0.003415727
DLX1	0.001251303	-0.000196409	-0.000130198	9.96E-05	-0.000608617
DLX5	0.001090127	3.44E-05	-8.90E-05	-6.21E-05	-0.000466483
DLX6	0.000851331	9.82E-05	-5.42E-05	-5.32E-05	-0.000309284
DLX6-AS1	0.001917194	-0.000180389	-0.00011709	-5.53E-05	-0.000829096
DNAJB1	-0.000430334	8.28E-05	0.000858854	0.00130978	0.000267914
DNAJB4	0.000173522	0.000406718	0.000407195	-5.52E-05	7.66E-05
DNAJB9	0.000225085	0.000155467	0.001467273	0.000429988	-0.000318038
DNER	0.000754811	0.002351819	-0.00038826	-0.000547218	0.003838646
DOC2B	0.000534766	9.41E-05	2.53E-05	-4.28E-05	-8.52E-05
DOK6	0.001417021	-0.000383088	-0.000393727	-8.46E-05	0.002423372
DPP10	0.002014717	0.000642766	-0.000437788	-0.000130777	0.001048588
DPP4	-0.000168981	-0.000355336	0.000991853	-0.00013058	-0.000357579
DPT	-7.39E-05	-0.000143896	-0.000113979	-0.000134129	-0.000111937
DPYD	-0.000470697	0.001006771	0.000101968	0.002006475	-0.000880571
DPYSL5	0.001029611	-0.000482602	-0.000497608	0.001046304	-0.000963531
DRAXIN	0.00053576	-0.000762054	0.001393058	-0.000389115	-0.000598869
DRGX	0.000696348	-4.69E-05	-4.32E-05	-1.64E-06	-0.000122987
DSC1	0.000513328	-3.45E-05	-3.52E-06	-7.83E-06	-0.000169379
DSG2	-0.000161228	0.000344378	-8.46E-05	-0.000294675	-0.000306199
DSTYK	-0.00047816	-0.00046883	-0.000575579	-0.000423992	-0.000670942
DTL	9.19E-05	-0.000327636	-7.85E-05	-5.15E-05	8.83E-05
DTX3	0.000213113	-0.000400506	-0.000482602	-0.000209472	0.000287918
DUSP1	-0.000285519	0.000792174	0.000374487	0.002344323	-0.000296051
DUSP2	-1.33E-06	0.000150297	4.66E-06	0.000871116	-0.000194421
DUSP4	0.000140423	-0.000620807	0.000747542	3.30E-05	-1.57E-05
DUSP5	0.000284471	-0.000521622	0.000749355	0.000977892	-0.000398027
DUSP6	-4.44E-06	-0.001025303	0.000741229	0.002105524	-0.000283775
DYDC1	1.93E-05	9.39E-07	-1.55E-05	-1.80E-06	-9.77E-06
DYRK3	-0.000278119	0.000675988	0.001136454	0.001135157	-0.000557353
ECEL1	0.000431232	0.000296269	-3.90E-05	-4.10E-05	-0.000140183
ECM2	-0.000313219	0.003092573	-0.00070138	0.000105999	-0.000649548
ECSCR	-0.000114621	-0.000101414	9.00E-05	-8.53E-05	-0.000108772
EDIL3	0.000852165	-0.000151592	0.000129979	-0.000244966	0.000950361
EDN1	6.65E-05	7.36E-05	0.000549159	3.85E-06	-0.000148563
EDN2	-4.34E-09	-1.02E-05	0.000287685	-2.58E-06	-8.42E-05
EDN3	-4.43E-05	-0.000140343	0.000245334	0.000210899	-6.72E-05
EDNRA	-0.000118214	0.001368215	4.57E-05	-0.000157276	-4.37E-05
EDNRB	-0.000294789	0.002355004	-0.001014971	0.000433367	-0.00024689
EEF1AKMT3	7.05E-05	-0.000129183	-2.60E-06	-0.000121801	-0.000387422
EFCAB1	2.66E-05	0.000231403	-0.000117608	0.000104023	-2.73E-05
EFEMP1	-0.000496567	0.003021044	-0.000656472	0.001699531	-0.000966977
EFHD2	-0.000276091	-0.000459718	-0.000770439	0.002207354	-0.000177373
EFNB2	-0.0002518	0.00048236	0.000692617	0.001589114	-0.000829413
EGFL6	-5.81E-06	3.32E-05	0.0001963	3.76E-05	-3.33E-05
EGLN3	-0.000355638	-0.000122316	0.005530397	-0.000357306	-0.000391698
EGR2	0.000871061	8.81E-05	-0.000108811	0.000702646	0.000185281
EGR3	0.00156189	2.78E-05	-0.000128608	0.001811271	-0.000342524
EGR4	0.001342762	0.00017187	8.79E-05	-1.90E-05	-7.18E-05
EHBP1	8.07E-05	0.000246692	-0.000218632	0.000847657	-0.000368344
EIF2B4	0.004673348	-4.59E-05	-0.000281532	0.00024133	-0.000480935
ELAVL3	0.003486164	-0.000546949	0.000493083	-0.000292149	0.000897722
ELAVL4	0.004540905	-0.000387569	-0.000613575	-9.49E-05	0.00021843
ELDR	-5.17E-05	0.000220138	5.51E-05	-9.15E-05	-0.000133747
ELF3	-3.63E-05	0.000273912	0.000556172	8.09E-05	-8.66E-05
ELK3	-0.000344894	-0.000274694	0.000530248	0.001423465	-0.000664148
ELL2	-0.000240858	0.000964288	0.001180595	0.001299115	-0.000723196
ELN	-0.000129236	6.85E-05	-0.000387718	0.000424437	-0.000174702
ELOVL2	-0.000559155	-0.000387111	-0.000999737	0.002217972	-0.000981434
ELOVL6	7.27E-05	-0.000459304	0.00120338	0.000304831	0.000145444
EMILIN1	-0.000431102	0.000741999	-0.000558839	0.000430877	-0.0006993
EMILIN2	-0.000230139	-0.000236943	-0.000222792	0.001690122	-0.000415935
EMILIN3	0.000131481	-0.000394971	-0.000403568	-0.000303501	-0.000198715
EMP1	-0.000786756	0.001200235	-3.43E-05	0.000804451	-0.001304573
ENC1	0.000817414	-0.00065812	0.000326416	0.00172568	-0.000787572
ENDOD1	-0.000486505	0.000504076	-0.000665987	0.001419001	-0.000982812
ENO2	0.00209958	-0.000333946	0.004799813	-0.000535614	-0.000317197
ENPP2	-4.93E-05	0.000428492	0.000100186	4.41E-05	-6.04E-05
ENPP5	-0.000114259	0.000786141	0.000735646	-0.000152624	-0.000208808
ENPP6	-0.000204237	-0.000418631	-0.000522591	0.000412252	-0.00019851
EPAS1	-0.000585164	-0.000522752	0.003994957	0.0003922	-0.000920215
EPB41	0.003413678	-0.000267192	-0.000225973	0.00027984	0.000465263
EPB41L2	0.001424134	0.000365106	-0.000250024	0.000699917	0.001369049
EPB41L3	0.000234427	0.000835642	-0.000368296	0.00010842	0.001166234
EPHA3	-0.000247527	1.10E-05	9.18E-05	-0.000152485	-0.000439184
EPHA4	8.34E-06	0.000826412	-9.93E-05	0.000415049	-0.00087254
EPHA7	0.001883099	4.31E-06	-0.000126347	-6.71E-05	-0.000479468
EPHB1	0.001699544	0.000191764	0.000201682	2.00E-05	0.001580045
ERBB3	4.39E-05	4.25E-05	-0.00026138	-0.000125463	0.001911417
ERBB4	0.000995282	0.000500109	-0.000370795	-0.000237844	0.000166055
EREG	-1.63E-05	-0.000245459	0.000156704	0.000555458	-5.63E-05
ERG	-2.68E-05	-3.22E-05	0.000223275	2.98E-06	-1.51E-05
ERICH3	0.000358356	0.001134174	5.12E-05	-0.000227714	-0.000441089
ERO1A	-0.000188221	-0.000588837	0.005744579	-0.000316692	-0.000321493
ERRFI1	-0.000271353	-0.000713474	0.001784674	0.00043961	-0.00064686
ESM1	-1.34E-05	-5.33E-05	3.26E-06	-6.20E-05	-9.48E-05
ETNK2	-0.000370019	-0.000446028	-0.000450762	0.000281147	-0.00066
ETNPPL	-8.28E-05	0.001469532	-0.000305328	-0.000125549	-7.65E-05
ETS1	0.000680887	-0.000578527	0.001512624	0.000257578	0.002255257
ETS2	0.000469074	-0.000258121	0.000679411	0.001308902	0.000205078
ETV1	0.002661514	-0.001030481	-0.000958549	0.000259526	0.003121798
EVI2A	0.00180283	9.54E-05	-0.00027893	-1.94E-05	0.001368541
EXTL3	-1.77E-05	-0.000840306	-0.000446123	0.001807257	-0.000418381
EYA1	0.004121886	-0.000308593	-0.000407662	-8.14E-05	-2.97E-05
EZR	0.000353396	0.002918278	0.000809779	0.000218069	-0.000810685
F13A1	-0.000131085	0.000248767	0.000320973	0.000588646	-0.000213457
F3	-0.000429641	0.000721434	-0.000935324	0.002872251	-0.000736661
FABP12	-1.20E-05	-4.09E-05	-2.01E-05	8.65E-05	1.19E-05
FABP3	7.16E-05	-0.000130384	0.000182669	-8.67E-05	-0.000159056
FABP4	-9.98E-06	0.000209945	1.53E-05	4.70E-05	-6.74E-06
FABP5	-0.000471514	0.002095606	-0.000249079	0.001312888	-0.001021764
FABP7	0.000707328	0.000461402	-0.001063207	0.001920836	-0.000649855
FADS2	-1.22E-05	0.002556919	-0.000311358	-0.000210038	0.001559327
FAM107A	-0.000210882	0.00371267	-0.000589588	-0.000294882	-0.000454387
FAM110B	0.002222256	-0.000541348	-0.00010915	-3.26E-05	0.00358001
FAM110C	-0.000235222	-0.000234712	0.001400387	0.00184826	-0.000385275
FAM111B	0.000158052	-0.000212037	-4.35E-05	-8.54E-05	1.57E-05
FAM155A	0.001705136	-0.000424848	-0.0008034	0.001247438	0.002278457
FAM167A	-0.000188472	0.000564204	-0.00035451	-0.000182291	-0.000250489
FAM180A	-1.83E-05	-0.00012425	0.001195304	-0.000177867	-0.000251516
FAM20A	-0.000145826	0.000276214	0.000157719	0.000489242	-0.000252484
FAM20C	-0.000518434	-0.000421606	0.00019658	0.002609676	-0.000976391
