	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2	Other Immune-2
MT.CO2	3.28E-05	0.000680835	0.000591944	-0.000646172	-0.001193835	0.000638802	-0.000578057	0.000271538	-0.000223274	0.001991251	-0.001073917	-0.001079416	0.000611943	7.75E-05	-0.000218501	-9.13E-05	5.81E-05	0.000340532
AGAP2	0.00030348	0.000773427	0.00038044	-6.45E-05	-0.000665527	-0.000289953	-0.000287911	-0.000481545	-0.000161196	-0.000405466	0.000200747	0.00104476	-0.000209356	-0.00021858	3.31E-05	-0.000140699	-0.000118168	0.000152622
GPR65	0.000567737	-0.000366724	-0.000379801	0.000493186	-0.000581389	-0.000259083	-0.000273531	-0.000304163	0.000755276	-0.000293798	0.000772329	-0.000345028	-0.000231512	-7.81E-05	-0.000239822	-3.66E-05	-0.000242681	0.001915586
CDK6	-0.000215754	0.002098191	-4.31E-05	-0.000223949	0.000226577	0.000832105	-2.30E-05	-0.000957879	-0.000348489	-0.000645368	-0.000565268	-0.000223542	-0.000242089	0.001051256	-0.00027697	-0.000542586	-0.000321611	-0.000432523
P2RY8	0.001034397	-0.00029038	-0.000289722	0.000141405	-0.000455433	-0.000225893	-0.000222022	-0.000240295	-2.11E-06	-7.37E-05	3.60E-05	-0.000240741	-0.000199721	-0.00024329	-0.000198933	0.000612893	-0.000149809	-0.000326785
MIAT	0.000399629	-0.00014812	0.00059421	-0.00011797	-0.000155736	0.000838316	-0.000303319	-0.000207963	-0.000198487	-0.000758733	-0.000139935	0.000769813	-0.000293011	-0.000897344	-0.000268421	0.000211797	-0.000210359	-0.00029303
LAMA4	-0.000419833	0.000301714	-0.000337057	-0.000253924	-0.00077906	0.00078962	-0.000338848	0.000648233	-0.000293959	-0.00051703	-0.000293606	-0.000319332	0.001786932	-7.43E-05	0.002390296	-0.000356881	0.002093071	-0.000391779
CCL8	-0.000236334	-0.000237843	-0.000182559	0.000702057	-0.000364673	-5.45E-05	-0.000147084	-0.00012172	-0.000448021	0.001842719	-0.000212491	-0.000176506	-9.63E-05	0.000115352	0.000194755	-0.0002247	-0.000149471	-0.000258935
RHOU	-0.000579148	0.000779491	-0.000144605	-0.000151498	-0.000517657	0.000581456	0.002194135	-0.000293913	0.000158116	-0.000357952	-0.000432806	0.000318552	-0.000394565	-0.000433358	-0.000264977	-0.000596792	-0.000277584	-0.000571881
COL14A1	-0.000244779	-0.0002607	-0.000235245	-0.000113505	-0.000814511	0.001082343	-0.000199718	3.42E-05	-0.000170798	-0.00036383	-0.000175967	6.30E-06	0.000720318	-7.28E-05	0.004707372	-0.000245191	-0.000362356	-0.000228765
LINC00689	-0.00015655	-0.000416939	0.001620864	-9.40E-05	-0.000198428	-9.80E-05	-0.00011876	-9.74E-05	-9.42E-05	-0.000206577	-0.000105342	-0.000613136	-0.000164489	0.000874683	1.63E-05	-0.000277958	-9.04E-05	-0.000121105
ATP8A1	8.75E-05	-0.000390001	0.000619247	-0.000206266	-0.000783345	-0.000284298	0.002285482	-0.000421744	-0.000152682	-0.000423306	-0.000198357	0.00060773	-0.000337652	-0.000206727	-0.000305568	-9.66E-05	-8.73E-05	-0.000172405
TRIM2	-0.000709531	-1.88E-05	0.000588478	-0.000411598	0.000886631	0.000109715	0.001972084	0.00072668	-0.000521487	-0.000901416	-0.000504622	0.001087448	-8.79E-05	0.000115835	-0.000315173	-0.000697071	-0.000392507	-0.000613853
UTRN	0.000842585	-0.000359334	-0.000774037	0.000140896	-0.000938919	7.11E-05	-0.000608726	4.61E-06	0.000654255	6.10E-05	-9.16E-05	-0.000628975	-0.000251542	0.000266345	0.00177535	4.91E-05	0.001069195	-0.000206661
TRIB1	-0.000722082	-0.000203625	-0.000705136	0.00037883	-8.90E-05	0.000589605	-0.000549469	-1.20E-05	-0.000643168	0.003312019	0.001100113	-0.000546791	-9.70E-05	-0.000448309	-0.000157665	0.00135246	0.000135528	-0.000463007
LMOD1	-0.000169261	-0.000326937	-0.000176411	-0.000110667	-0.000178762	-0.00031506	-0.000126118	0.000697626	-0.000107926	-0.00013359	-0.00011777	-0.000219027	-0.000808985	0.000217563	0.006245576	-0.000189852	-0.000487863	-0.000148561
MGST1	-0.000364652	-0.001167426	-0.000400663	-0.000338094	-0.000273801	0.002473731	-0.000300651	0.002506029	-0.000100129	-0.000116004	-0.000228933	-0.000207045	-0.000256831	0.000289312	-0.000175404	-0.000310337	-0.000253541	-0.000235153
BHLHE40	0.00019717	-0.000214867	-0.000932179	-0.000441175	0.000601119	0.00051635	-0.000647039	-2.76E-05	-0.000182474	0.002497918	-0.000519271	-0.000708647	0.000602945	-0.00033619	0.000389021	-0.000557823	0.000534876	0.001888649
PLXNC1	-0.000233625	-0.000324689	-0.000360655	0.000514078	-0.001056016	-0.000298339	-0.000368845	-0.000289384	0.001481375	-0.00019674	0.001946685	0.000765087	0.000252627	0.000502491	-0.000359572	-0.000333566	-0.000357584	0.00057771
CCR5	0.000944781	-0.00034815	-0.000356651	0.000325971	-0.000508984	-0.000197773	-0.000248855	-0.000251263	0.000740668	-0.000130142	-0.000287694	-0.000362258	-0.000257477	0.000245838	-0.000222664	-0.000488602	-0.000232786	-0.000415708
TMIGD3	-0.00032418	-0.000340589	-0.000309387	0.002360316	-0.000227511	-0.000292244	-0.00020185	-0.000250318	0.000259978	-0.000276391	6.72E-05	-0.000296269	-0.000177677	-7.48E-05	-0.000211552	-0.000317671	-0.000109165	-0.000211944
BGN	-0.000329057	-0.000301502	-0.000295923	-0.000214086	-0.000284854	-8.59E-05	-0.000285794	0.000923008	-0.000252044	-0.000359222	-0.000235277	-0.00030127	0.002395984	-0.000332929	0.003786842	-0.000293085	0.000839897	-0.000295914
CADM2	-0.000514086	0.001238962	0.002167681	-0.000358788	-0.001148284	-0.000518828	0.000894404	-0.000274641	-0.000344331	-0.000395301	-0.000369249	8.45E-05	-0.000310752	9.02E-05	-0.000355972	-0.000476809	-0.000307476	-0.000382568
SLC2A1	-0.000260915	-0.000569142	-0.000370161	-0.000458681	0.003562121	0.000150095	-4.83E-05	-0.00030957	-0.000250965	-8.48E-05	-0.000369052	-0.000288266	0.00047736	4.01E-05	-0.000471569	-0.000362656	0.001720955	-0.000364191
LILRB3	-0.000291834	-0.000268681	-0.000268272	-0.000109186	-0.000365264	-0.000219992	-0.000204718	-0.000262041	0.001380845	-8.75E-05	0.002781765	-0.000217493	-0.000190217	-0.000298759	-0.00016207	-0.000287733	-0.000166211	-0.00044238
ATP1B2	-0.000496877	0.002753899	-6.85E-05	-0.000325964	-0.000382293	0.000118422	-0.00043912	0.001433105	-0.000326297	-0.000594689	-0.000371531	-0.000383986	-0.000408174	-0.001054821	0.000260549	-0.00049112	-0.000273567	-0.000427969
SEZ6	-0.000355446	0.00194674	0.00154946	-0.00026106	-0.00098567	-0.000442696	-0.000294395	-0.000700484	-0.000239592	-0.00020878	-0.000254336	0.00059039	-0.000204217	-0.000156484	-0.0002377	-0.000427339	-0.000202734	-0.00027046
COL12A1	-0.000270996	-0.000365498	-0.000263187	-0.000117305	-0.00041033	0.000564756	-0.000223736	-0.000265644	-0.000223436	-0.000505669	-0.000183387	-0.000295194	0.004984877	-4.34E-05	0.000733874	-0.00028305	0.000109301	-0.000242102
ARHGAP25	0.000723253	-0.000232218	-0.000449409	0.000824825	-0.000627313	-0.000229511	-0.000314191	-0.000285353	5.74E-05	-0.000753722	0.001231285	-0.000403907	-0.0002929	-0.000125369	-0.000291103	7.49E-05	0.000244785	0.000946658
TGM2	-0.000297926	-0.00032589	-0.000340592	-0.000389656	0.000985409	0.00045668	-0.000255989	-6.67E-05	0.000745201	-0.000442548	-0.00014943	-0.000280727	9.66E-05	-0.000374694	0.00060264	-0.000293943	0.003116789	-0.000249734
MEST	-0.000593502	0.002592168	4.33E-06	-0.000318926	-0.000278806	0.000307508	-0.000338339	0.000316772	-0.000427719	-0.000402159	-0.000438214	0.000619946	-0.00012973	0.000117993	-0.000165365	-0.000559866	-0.000345114	-0.000473116
ABCA2	-0.000184202	-0.000241796	-0.000130578	-0.000199654	-0.000437122	4.37E-05	0.002966529	-0.000166392	-0.000219467	-0.000405042	-0.000239168	-3.38E-05	-0.00017538	-0.000171103	-0.0002	-0.000379754	-0.000117112	-0.00032426
IGHD	-1.12E-05	-9.52E-05	-3.27E-05	4.29E-07	-0.000132699	-5.73E-05	-6.75E-05	-6.41E-05	-8.81E-05	-0.000101894	-4.90E-05	-5.32E-05	-4.71E-05	-7.23E-05	-4.53E-05	0.003257452	-5.55E-05	9.13E-05
CSPG5	-0.000437507	0.001988868	0.002151833	-0.000319683	-0.001043397	-0.000560224	-0.000212455	-0.000275415	-0.000289526	-0.000258413	-0.000320588	-0.000280275	-0.000210608	-0.000593629	-0.000297651	-0.000428716	-0.000247498	-0.000340775
DAAM2	-0.000335307	-0.000396185	-0.000349239	-0.000190062	-0.000605187	-0.000399784	0.002724567	0.000122113	-0.000259828	-0.0003205	0.000398693	-0.000364886	0.000187001	-5.03E-06	0.001809218	-0.000304212	-3.19E-05	-0.000219208
ENC1	-2.27E-05	0.000743251	-1.46E-06	-0.00027995	-0.000248636	0.001594599	-0.000475782	-0.000336788	-0.000136746	-0.00042412	-0.000348075	0.000546159	-0.000337611	0.000583538	-3.55E-05	-0.00046438	-0.000122051	-0.000296328
PTPRB	-0.000173644	-0.000211645	-0.000162787	-0.000136082	-0.000102472	-1.14E-05	-6.84E-05	-0.000180537	-0.000145686	-9.81E-05	-0.000123677	-1.08E-05	-0.000265921	-4.53E-05	-0.00031479	-0.000187826	0.00602388	0.000113307
FCGR2B	-0.000377076	-0.000370484	-0.000346782	0.000412525	-0.000355452	-0.000207901	-0.000250945	-0.000313675	0.001900168	0.001265931	-0.00028363	-0.000274792	-0.000224145	-9.17E-05	-0.000222301	0.000185248	-0.000218393	-0.000373798
GIMAP4	0.000801392	-0.000401172	-0.000416829	0.001203043	-0.000638519	-0.000224032	-0.00030286	-0.000315209	0.001191354	-0.00182636	0.000210279	-0.00036837	-0.000314749	-0.000184303	-0.000285853	-0.000586884	0.001027583	-0.000524348
ITIH2	-9.71E-05	-2.62E-05	-0.000102463	-6.49E-05	-0.000552839	-5.85E-05	-8.34E-05	-1.75E-05	-9.73E-05	-7.37E-05	-8.13E-05	-1.72E-05	0.001882404	-0.000755054	0.001639594	0.000180997	0.000296865	-0.000101884
CXCR6	0.001011214	-0.000172313	-0.000188102	-7.14E-05	-0.000260808	-0.000103215	-0.000129317	-0.000116163	-6.12E-05	-0.000403072	-0.000145778	-0.000183002	-0.000117194	9.36E-06	-0.000120047	-0.000289193	-0.00012392	-0.000151022
RND3	-0.000506225	-0.000428584	-0.000307544	-0.000479873	0.001021498	0.001038171	-0.00042357	0.000634311	-0.000311888	0.000471684	-0.000392522	0.000947086	0.001243937	-0.000613151	0.001142702	-0.000404292	0.000166501	-0.000403743
SHTN1	-0.000490906	-0.000657411	-0.000224298	0.001038755	-0.000695104	4.84E-05	0.002393082	-0.000492529	0.000517746	-0.000201587	-0.000371351	0.000313017	-0.000353409	-0.000125615	-0.000335076	-0.000400624	-0.000302856	-0.000306982
F5	0.000222029	-0.000180399	-0.000152464	-0.000126352	-0.000284139	-5.71E-05	-0.000132886	-7.85E-05	0.000113415	-0.000508989	0.001977278	-0.000153214	-4.74E-05	1.20E-05	-4.27E-05	-0.000135257	-0.000106369	-0.000198487
BAALC	-0.000670698	0.001360451	0.000967651	-0.000453169	-0.000289795	0.00109059	-0.000233825	0.00167433	-0.000462713	-0.000685868	-0.000493537	-0.000150746	-0.000611975	-0.000306137	-0.00057792	-0.000596056	-0.000129508	-0.000549917
NECAB1	-0.000273493	-0.000279132	-0.00033395	-0.00018655	-0.000343946	-4.63E-05	0.003256399	-0.000237239	-0.000198762	-0.00025671	-0.000190453	-0.000188269	-0.000198577	-5.83E-05	-0.000142222	-0.000234221	-0.000166328	-0.00020718
OCIAD2	1.33E-05	-0.000332633	-0.000663068	-0.000359107	0.000210134	0.002366823	-0.000446434	0.001275531	-0.000365142	-0.000532579	-0.000437937	0.000522937	-0.000600517	0.000528677	-0.000519931	-0.000329897	0.000252045	-0.000363778
HIST1H1D	0.000499823	-0.0002251	-0.000417546	0.000167791	-0.000374617	-0.000239117	-0.00030615	-0.000359996	-7.50E-05	-0.000446256	-0.000245005	0.000491303	-0.000313198	0.004050637	-0.000215992	0.00098858	-0.000132872	0.000194608
EOMES	0.000974661	-0.000202954	-0.000190485	-9.73E-05	-0.000247508	-9.73E-05	-0.000118762	-0.000128154	-0.000149469	-0.000256918	-0.000137393	-0.00022109	-0.000130847	0.000309912	-0.000121136	-0.000297617	-0.000111994	-0.000192474
ANKS1B	-0.000343646	-0.000551574	0.00088337	-0.000232452	-0.000587713	-0.000143916	0.002736433	-0.000341016	-0.000247679	-0.000369314	-0.000244059	0.000718406	-0.000237253	-0.000249263	-0.000139061	-0.000186574	-0.000209459	-0.000306604
PCSK6	-0.000245645	-0.000307325	-0.000299226	-0.000163751	-0.000379823	-0.000177481	0.00317079	-0.000203495	-0.0001371	-0.000299334	-0.000184052	-0.000188568	-1.94E-05	-0.000164878	-0.000138448	-0.000200132	-0.000106215	-0.000195886
MT1E	-0.000306664	-0.000239902	-0.000517816	-0.000157864	0.001725649	0.001438004	-0.000269128	0.000231055	-0.000331122	-6.98E-05	-0.00031539	-0.000460852	-0.000524863	-6.42E-05	0.000584006	-0.000372247	0.000920762	-0.000323264
ICAM1	-0.000600614	-0.000618924	-0.000613259	-0.000473003	-0.000404053	0.000158624	-0.000419221	0.000134721	0.000116152	0.004812064	-2.76E-05	-0.000502567	0.000989735	-0.000233483	-0.000539469	-0.000276192	0.000222423	0.000689173
TMSB4X	0.000843561	0.000443955	-0.001834274	0.000679994	-0.001478247	0.000650921	-0.00028391	0.000124874	0.000734669	0.00036835	0.000197609	-0.000275145	-0.001932083	-0.000115267	0.00031761	0.000140975	0.000355141	0.000317399
KIT	-0.00014074	-0.00010575	1.22E-05	-0.000154581	-0.000238113	-9.35E-05	-3.49E-05	-5.33E-05	-0.000127613	-7.51E-05	-0.000104046	0.000527037	-1.76E-05	-0.000163175	-6.12E-05	-0.000145015	0.000645274	0.013393118
GEM	-0.00045504	-0.000593361	-0.000534637	-0.000553957	-0.000112982	0.001677667	-0.000377535	0.001282574	-0.000482361	0.001521551	-0.000407084	-0.000190172	0.000864447	0.000229651	0.001106216	-0.000398622	-0.000324489	-0.000341169
HIST1H4C	0.000314648	-0.000671325	0.0009138	9.45E-05	-0.000569253	-0.000411645	-0.000172329	-0.000353472	-0.000308918	-0.000488646	-0.000349726	0.000310952	-0.000424571	0.004460525	-4.15E-05	0.001271307	-0.00018906	0.00027961
TNFAIP2	-0.000478855	-0.00059929	-0.000401288	0.000478975	-0.000266084	0.000183302	-0.000338478	0.000509843	0.000780004	0.00123639	0.000707829	-0.000286208	-8.45E-05	-0.000447651	-0.000189972	-2.42E-05	0.00013438	-0.000356483
CXCL10	-0.000135297	-2.53E-05	-0.000159806	-4.48E-05	-0.000236629	-6.92E-05	-9.91E-05	0.000328355	0.000122089	0.000896308	-0.000106821	-0.000107109	2.86E-05	-3.55E-05	-1.24E-05	-5.52E-05	6.89E-05	-0.000170092
NFIB	-0.000796794	0.000799361	0.001695521	-0.000495689	-0.000405409	0.000721872	-0.00028161	0.000200877	-0.000565208	-0.000825802	-0.000545692	0.002439686	-0.000561138	0.000670496	0.000176113	-0.000742669	0.000588765	-0.000671325
SULF1	-0.000269297	-0.000244214	-0.000258673	-0.000101996	-0.001111569	0.003298707	-0.000241654	0.000132351	-0.000162726	-0.000571126	-0.000191255	-0.000174381	0.00030256	-0.000234962	0.000556434	-0.00028413	-0.000134956	-0.000212138
CENPE	-0.000211343	-0.000377127	-0.000358806	-0.000112084	-0.000416307	-0.000167615	-0.000144729	-0.000165341	-0.000123436	-0.000199144	-0.00019773	-0.000477453	-0.000147669	0.010056776	-0.000151007	-0.000189449	-0.00013828	-9.46E-05
OLFM1	-0.000519422	0.000751239	0.00026276	-0.000284621	0.002305808	-0.000192341	-0.000380018	-0.000198142	-0.000392574	-0.000649504	-0.000357119	0.001210702	0.000110992	0.000849122	-0.00042055	-0.000466266	-0.000260883	-0.000403254
TESPA1	0.001000421	-0.000222696	-0.000199204	-9.00E-05	-0.000322383	-0.000142083	-0.000159586	-0.000175456	-0.000136751	-0.000298628	-0.000177498	-0.000177664	-0.000155413	-0.000142658	-0.000137437	-0.0001983	-0.000143737	0.003474816
SOX9	-0.000634787	0.001685093	0.000507771	-0.000453762	0.000358853	0.000564639	-0.000436673	0.001323646	-0.000532044	-0.000406112	-0.000455436	-0.000259884	-0.000420565	0.000153849	-0.000457951	-0.000383317	-0.000431832	-0.000484741
EPB41L2	-0.000727683	-0.000530022	7.12E-05	0.002407715	-0.001004773	-8.25E-05	0.000982663	-0.00033105	-0.000178681	4.00E-05	-0.000602491	-0.000697449	0.000509518	0.001014851	0.000316248	-0.000520468	4.13E-05	1.90E-05
TNFAIP8	0.000843413	-0.000533624	-0.000479327	-0.000392193	-0.000600866	-0.00021308	-0.000360874	-0.000388946	0.000715003	0.001434704	-7.52E-05	-0.000373108	-4.48E-05	-5.02E-05	8.24E-06	0.00018536	-0.000223348	0.001117391
PLBD1	-0.000401576	-0.000332194	-0.000368001	0.000249108	-0.000552319	-0.000158628	-0.000277868	-0.000179461	0.002028122	-0.000565387	0.002151755	-0.000344808	0.000275287	-2.16E-05	-2.13E-05	-0.000262347	-0.000172226	-0.000256965
HHATL	-0.000228138	-0.000228721	-0.000267237	-0.000140361	-0.000329217	-0.000193092	0.00288811	-0.000162041	-0.000146229	-0.000248759	-0.00015839	-0.000217093	-0.000115268	-0.000115748	-0.000175166	-0.000179269	-0.000133132	-0.000190735
ID3	-0.000318699	-0.0005857	-0.000121024	-0.000251637	-0.001264135	0.00047307	-0.000282853	0.003309302	-0.000117529	-0.000315036	-0.000294182	-0.000440227	0.000311426	0.000220621	0.001268848	-0.00019418	0.00132276	-0.000348444
EDN1	-0.00017148	-0.000216895	-0.000148636	0.000354742	3.30E-05	-0.000194738	-0.000136564	-0.000120766	-0.000389799	0.000263607	7.21E-06	-0.000146276	-0.000218291	-0.000137556	-0.000145759	-4.96E-05	0.003977188	-0.00014374
STEAP4	-0.000166935	-0.000137152	-0.000158518	-7.64E-05	-0.000324019	-7.09E-05	-0.000126217	-0.000130356	-0.000291453	-0.000152632	0.002656091	-0.000115592	0.000310268	-0.000163207	0.00065271	-0.000133998	8.41E-05	-0.000282332
BATF	0.000869895	-0.000258681	-0.000238676	4.26E-06	-0.000330326	-0.000127144	-0.000169151	-0.000152665	0.000309845	-0.000595036	-6.24E-05	-0.000283493	-0.000171558	0.000350575	-0.000126625	-0.000198744	-9.66E-05	0.002187789
FBN1	-0.000416584	-0.000249228	-0.000236249	-0.000190716	-0.000980694	0.002152317	0.000209424	-0.00027593	-0.000287885	-0.000658234	-0.000263829	-0.000326841	0.002993861	9.83E-05	0.000815012	-0.000348264	0.000196596	-0.000334168
SOX10	-0.000253919	-0.000278551	-0.000214386	-0.000186686	-0.000386707	-0.000214412	0.003274001	-0.000267583	-0.000180168	-0.000207461	-0.000180954	-0.000277109	-0.000191568	-8.94E-05	-0.00020116	-0.000262477	-0.00016085	-0.000189676
DAB2	-0.000479412	-0.000568171	-0.000150868	0.00203522	-0.000531829	-6.85E-05	-0.000358929	-0.000339618	0.001484988	-0.00091537	-0.000442995	-0.000460001	0.000992725	-0.000404628	6.28E-05	-0.000404767	0.00102307	-0.000329077
HSPA5	-0.000284542	0.000531386	-0.000337589	-0.000190145	0.001001441	0.000586125	-0.000306538	0.000119297	-0.000114972	0.000595309	-0.000891868	-0.000543561	0.000940962	-0.000147205	-0.000361516	0.000423982	1.30E-05	0.000142498
REL	0.000271048	-0.000462191	-0.000494776	0.000607622	-0.000821184	-0.000421434	-0.000414423	-0.000431807	0.000231928	0.002920207	-9.76E-05	-0.00024924	-0.000261799	-0.000261703	-0.000375909	-0.000263472	-0.000224017	0.000772908
DENND2D	0.001127785	-0.00028966	-0.000287649	0.000191442	-0.000425541	-0.000125167	-0.000201592	-7.71E-05	9.54E-05	-0.000741899	-7.75E-05	-0.000215814	-0.000169602	-0.000159829	-0.000191161	3.19E-05	-0.000142023	0.000126226
GIMAP5	0.000920809	-0.000294396	-0.00030291	0.000597143	-0.000445521	-0.000174035	-0.000211044	-0.000230918	0.000607829	-0.001289356	-0.000195293	-0.000259511	-0.000220599	-0.000263182	-0.000230898	-0.000513065	0.001244252	-0.000357067
INPP5D	0.000543746	-0.000505827	-0.000496834	0.001630047	-0.000759349	-0.000327019	-0.000372807	-0.000313785	0.000491505	-0.000526051	0.000535647	-0.000411801	-0.000383899	-6.16E-05	-0.000312421	-2.86E-05	0.000217581	0.000223389
FLNA	0.000223518	-0.000513096	-0.000666463	-0.000908801	0.001442595	0.00105487	-0.000751489	0.001088433	1.21E-05	-0.00035683	-0.000318809	-0.000660465	0.001067987	0.000647673	0.001425567	-0.000915862	0.000132775	-0.000564834
PTPN7	0.001010273	-0.000371417	-0.000334328	0.000179117	-0.000444357	-0.000205159	-0.000235334	-0.000237258	0.000394988	-0.000529369	3.22E-05	-0.000414854	-0.000274395	0.000745028	-0.000198368	9.56E-05	-0.000194315	0.001004263
KCND2	-0.000366427	0.001181213	0.002118648	-0.000271981	-0.00107284	-0.000480641	-0.000338479	-0.000201193	-0.000265916	-0.000225695	-0.000264956	0.000556026	-0.000199405	0.000230367	-0.000276303	-5.51E-05	-0.000223031	-0.000287443
ITGB7	0.001160186	-0.000280201	-0.000309069	-0.000255593	-0.000386818	-0.000177815	-0.000186892	-0.000183022	0.00022097	-0.000186647	-0.000213813	-0.000269257	-0.000139462	-1.05E-05	-0.000182696	0.000504544	-0.000145401	0.000163939
TM4SF1	-0.000266978	1.04E-05	0.00018005	-0.000246845	8.62E-05	-0.000273135	-0.000207083	-0.00017182	-0.000213431	-2.01E-06	-0.000186116	-0.00023646	4.11E-05	8.36E-05	0.001326812	-0.000132135	0.004347886	-0.000231
PARP8	0.001305495	-0.000326161	-0.000145749	0.000210459	-0.000778402	-0.000158819	-0.000419628	-0.000246709	-0.00010286	-0.000390905	0.000691415	-0.000182637	0.000132418	-0.000409965	-0.000228929	-0.000469794	-0.000288339	-0.000506751
MYO1B	-0.000299387	-0.000453283	-0.000382453	-0.000163959	0.0003839	0.00123944	-0.000311296	-0.000808047	-0.000270986	-0.00062802	-0.000225835	-0.000372145	0.002150663	0.000350455	0.002362746	-0.000265535	0.002157573	-0.000306357
MERTK	-0.000465219	-8.75E-05	-0.000452693	0.002457339	-0.000587481	-0.000180977	-0.000336952	-0.000289997	0.000748224	-0.000232491	-0.00036935	-0.000371844	-0.000168004	-0.0003006	9.78E-05	0.00038588	-9.50E-06	-0.000472635
FGD3	0.000749358	-0.000341071	-0.000140751	0.000332741	-0.000549257	-0.000229731	-0.00024825	-0.000252933	0.000141206	-0.000403711	0.00121738	-0.000237384	-0.000206251	-0.000294252	-0.00021932	-0.000236471	-0.000184344	2.36E-05
CAMP	-0.000109261	-0.000138543	-0.000105728	1.98E-06	-5.39E-05	1.67E-05	-7.66E-05	-4.93E-06	-0.000163808	-0.000343502	0.001851578	-0.000125032	-8.87E-05	0.000193769	-4.41E-05	-0.000102397	-4.30E-05	0.000689923
HBB	4.38E-05	-0.000104615	0.000140655	9.63E-06	8.58E-06	-7.35E-05	4.95E-05	-7.50E-05	-3.75E-05	-6.66E-05	9.47E-05	-0.000106015	-8.77E-05	5.78E-05	6.14E-05	-9.54E-05	0.000119911	-4.68E-05
CTSC	7.18E-05	-0.000730154	-0.000647461	0.001496534	-0.000931626	0.000796197	-0.000496949	-0.000603144	0.001595801	-0.00046732	-0.000300155	-0.000628496	0.000858406	0.000405769	-0.000290051	-0.000395239	2.88E-07	-0.000276107
PTPN22	0.001011362	-0.000322726	-0.000311649	-0.000201998	-0.000458905	-0.000201663	-0.00023695	-0.000237187	0.000725573	-0.000263487	0.000120142	-0.000340746	-0.000248672	0.000353748	-0.000184829	-0.000325754	-0.000205444	0.000860527
CD8B	0.00102361	-0.000171258	-0.000185388	-9.86E-05	-0.000264268	-0.000121385	-0.000113769	-0.000132485	-0.00018934	-0.000188656	-0.000144337	-0.000169709	-0.000117887	1.64E-05	-0.000115859	-0.000425307	-0.000102685	-0.000316609
TBC1D4	0.000694987	-0.000312959	-0.000170927	0.000825286	-0.000698427	-0.000146253	-0.000336993	-0.000340799	-8.23E-05	-0.000414958	-0.0003309	-0.000159901	-3.96E-05	-0.000105019	1.45E-05	2.84E-05	0.001522235	5.77E-05
FRMD4B	0.000216472	-0.000444191	-0.000612743	0.000588345	-0.000723027	-0.000111315	0.001351257	-0.000497077	0.000309201	2.48E-05	0.000440649	-6.40E-05	-0.000238243	0.000345603	-0.000365317	-0.000625314	0.00030314	-0.000312893
SYNPO2	-0.000230377	-0.000329237	-0.000231349	-7.14E-05	-0.000611608	0.000305764	-0.000187108	4.83E-05	-0.000194376	0.000414478	-0.000187947	-0.000181153	4.09E-05	-0.000119701	0.005552292	-0.000215358	-0.000103047	-0.00020616
IQGAP2	0.000854462	3.93E-05	-0.000584906	-9.11E-05	-0.000789099	0.000353868	-0.000450062	-0.000283459	0.000676227	-9.45E-06	0.000464808	-0.000451059	-0.000466339	0.000177654	-0.000364109	-0.000109118	-3.92E-05	0.000739845
BIRC5	-0.000353572	-0.00025367	-0.000376082	-0.000223455	-0.000488914	-0.00019604	-0.000214947	-0.000269352	-0.000223803	-0.000186538	-0.000228409	-0.000250155	0.000295393	0.011310864	-0.000313021	-0.00027445	-0.000168142	-0.000254385
NFASC	-0.000508659	0.000439776	-0.000132227	-0.000349893	-0.000107097	0.00118404	0.00157615	0.000585139	-0.000354662	-0.000575758	-0.000376142	0.000391808	-0.000641471	-0.000690566	0.000392655	-0.000529132	-0.000354306	-0.000413198
SLAMF1	0.00099148	-0.000210973	-0.00020733	-7.99E-05	-0.000292312	-0.000124698	-0.000149637	-0.000158511	-7.31E-05	-0.000380827	-0.000143609	-0.000207892	-0.000151104	2.59E-05	-0.000105425	0.000511559	-0.000121303	-2.80E-05
IL6R	3.93E-05	-0.00046665	-0.000527468	0.000850644	-0.000420536	-4.58E-05	-0.000302874	-0.000122808	0.000685374	9.64E-05	0.001309047	-0.000427526	-0.000349683	-0.000341738	3.13E-06	0.000396729	-4.97E-05	2.07E-05
CD300E	-0.000250076	-0.000174813	-0.000176063	-0.000952673	-0.000304837	-0.000169022	-0.000155796	-0.000178434	0.002793454	0.000659512	6.08E-05	-0.000132604	-0.000106236	-0.000243384	-0.000140257	-0.00029922	-0.000141796	-0.000362961
THBS2	-0.000434757	-0.000168757	-4.66E-05	-0.000260663	-0.000695386	0.001998135	0.000657351	-0.000273851	-0.000313443	-0.000601173	-0.000319281	-0.000377409	0.003644248	-0.000647187	-0.000408859	-0.000403592	-0.000372725	-0.000356325
IGHV3.23	-0.000128689	-6.34E-05	-0.000117001	-7.27E-05	-0.000101306	-4.10E-05	-5.52E-05	-6.50E-05	-7.30E-05	-0.000158713	-5.94E-05	-6.75E-05	-2.77E-05	-4.51E-05	-3.38E-05	0.004848179	-5.06E-05	-7.59E-05
MEG3	-0.000370065	0.001065036	0.000199244	-0.000221573	0.000929289	0.00054548	-0.000349379	-0.000111238	-0.000305699	-0.000471231	-0.000253808	3.61E-05	2.42E-05	-0.000748131	0.000285059	-0.00023807	-0.000170254	-0.000220061
