	Treg	Cycling	Naïve/Memory	Effector
CFAP70	-9.11E-05	-0.000117874	0.000128025	4.18E-05
CFH	-0.000367747	-0.00012806	0.000377352	7.41E-06
CGA	0.000863367	-0.000100563	-0.000164046	-5.68E-05
CGNL1	-1.21E-05	1.80E-05	6.20E-06	7.45E-06
CH25H	8.96E-05	0.00011243	0.000280917	-0.000359431
CHAF1A	-1.24E-05	0.003858373	-0.00020738	0.000187817
CHD4	0.001103337	0.000820187	0.000117537	0.000823643
CHD7	-0.000701429	6.49E-05	0.0005792	-0.000179775
CHD9	0.000113999	0.0004355	0.000162102	0.000824456
CHDH	0.001307546	-0.00018586	-0.000136877	-4.49E-05
CHEK1	9.36E-05	0.004448842	-0.000390581	0.000228452
CHGB	0.000161611	-6.03E-05	-3.22E-05	-4.48E-05
CHI3L1	0.000385591	7.18E-05	-1.63E-05	-0.000163134
CHKB-DT	7.12E-05	0.000147354	3.61E-05	-3.26E-05
CHML	8.09E-05	0.000283391	0.00011104	0.000117873
CHN1	0.000561	1.85E-05	3.96E-05	-0.000276002
CHRM3-AS2	-7.16E-05	-0.000149983	0.000354375	-0.000283059
CHRNA6	0.001655647	6.50E-05	-0.000292883	-0.000129414
CHST15	0.000340343	2.57E-05	3.34E-05	3.69E-06
CHST2	1.68E-05	0.000129777	-0.000507635	0.002380804
CISH	0.001034547	0.000347212	-2.37E-05	-0.000102951
CIT	-0.000113254	0.003035578	-0.000110593	-0.000325541
CITED2	-0.000660178	0.000131975	0.00057335	-7.18E-05
CKAP2L	-0.000280299	0.003507725	-0.000235776	-0.000157064
CKS1B	-0.000155977	0.003818388	-0.000285597	0.000275052
CLDN10	5.27E-05	0.000358184	-3.18E-05	2.59E-05
CLDN5	-8.76E-05	-6.36E-05	8.35E-05	1.57E-05
CLIC3	-0.000218591	6.72E-05	-0.00029027	0.001927013
CLIC5	-0.000161409	0.000235042	0.000210578	0.000266807
CLIC6	-0.000167878	-4.65E-05	0.000219416	-9.62E-05
CLNK	0.001874882	-0.000306295	-0.000558046	0.001197785
CLOCK	0.000164416	0.000634231	3.48E-05	0.000362322
CLSPN	-0.000315668	0.005379	-0.000384597	0.000183
CLU	9.76E-05	6.57E-05	3.47E-05	0.00030676
CMC1	-0.00030922	0.000253406	-0.000276402	0.002073525
CMKLR1	-0.000147736	-5.93E-05	-0.000192818	0.001178475
CMPK2	0.000499632	0.000409135	7.04E-05	9.03E-05
CMTM4	-0.000111817	-5.94E-06	0.000109166	2.84E-05
CMTM6	0.002078082	0.000158566	-8.75E-05	0.000455292
CMYA5	3.70E-05	5.80E-05	5.44E-06	3.86E-05
CNTNAP4	3.98E-05	5.85E-05	-1.84E-05	6.09E-05
COBLL1	8.75E-05	0.000101392	-2.82E-05	0.00024977
COCH	0.001975298	-0.000183656	-0.000330283	-0.000118069
COL19A1	0.000141343	0.000177133	-1.66E-05	-2.68E-05
COL4A4	3.28E-05	-7.69E-05	-2.40E-05	0.000355125
COL6A3	0.000417592	0.000261666	-4.93E-05	0.000128413
CORO1A	0.001663526	0.002571753	-6.14E-05	0.000828586
CORO2A	8.56E-06	0.000145127	0.000299357	-0.000119215
COTL1	0.000882735	0.002472934	-0.000331234	0.001458911
CPA3	0.000190006	-0.00010436	-3.09E-05	0.000432915
CPE	0.000591656	-9.01E-05	-0.000107995	3.72E-05
CPLANE1	-0.000150678	0.000432709	5.13E-05	0.000575271
CPM	0.000266908	-9.00E-05	6.85E-05	-2.22E-05
CPS1	-3.40E-05	-2.39E-05	6.31E-05	-1.03E-05
CPT1A	0.000322511	0.001084466	0.000107587	0.000726609
CPXM1	-0.000134904	0.000233889	-0.000112896	0.000821831
CR1	-0.00022839	-7.61E-05	0.000136883	-0.000157918
CREG2	-4.16E-05	-1.08E-05	-4.23E-06	6.88E-05
CREM	0.000758681	0.000296386	0.000157237	0.000289292
CRIM1	6.08E-05	0.00062157	-0.000225227	0.001561558
CRIP1	6.48E-05	0.001842663	0.000308422	0.000103669
CRIP2	-0.000228131	0.000126257	0.00035303	-0.000260349
CRLF2	0.002548524	-0.000271273	-0.000467443	-0.00015085
CRTAM	-0.000341215	0.00048192	-7.24E-05	0.001153592
CRYBG1	-0.000656169	0.000253764	0.000947258	-0.000421611
CRYBG3	-0.000103402	2.06E-05	0.000216182	5.15E-05
CSF1	0.001398813	-2.70E-06	-0.00050799	0.001758036
CSF2RA	0.00019086	-5.11E-05	1.12E-05	4.28E-05
CSF3R	0.000306851	-2.84E-05	1.74E-07	-2.45E-06
CSGALNACT1	0.000596364	-1.38E-05	0.000255152	-0.000441129
CSPP1	-0.00021174	5.91E-05	0.000319963	7.47E-05
CTBP2	-0.000311183	0.00017328	-0.000470791	0.002616595
CTIF	0.000235491	8.27E-05	-1.26E-05	0.000347278
CTLA4	0.004595988	-4.00E-05	-0.000596114	-0.000695196
CTNNAL1	0.000105849	0.003029921	-0.000212592	-7.45E-05
CTPS1	-1.87E-05	0.001631306	9.52E-05	0.00026501
CTSC	0.004067689	0.000692225	-0.000697572	0.000307265
CTSH	0.000141206	0.000135407	0.000288549	-0.000329259
CTSV	0.000526381	0.000303081	-0.000112453	-1.48E-05
CTSW	-0.000532315	0.00073286	-0.00053595	0.003541042
CTTNBP2NL	0.001679066	9.59E-06	-0.000307138	-8.79E-05
CX3CR1	0.000159528	-0.000150082	-0.000354105	0.001753033
CXCL13	0.000409748	8.15E-05	-5.19E-05	-6.48E-05
CXCL2	7.65E-05	2.51E-05	-2.81E-05	0.000237283
CXCL3	5.46E-05	0.000116107	-2.14E-05	0.000201294
CXCL8	0.000279143	-8.46E-05	7.15E-05	8.84E-05
CXCR2	-0.000114352	-0.000241264	-0.000200234	0.001255399
CXCR5	-0.000186933	2.51E-06	0.000188578	-0.000308018
CXCR6	0.002990134	5.23E-05	-0.000418216	-0.000106043
CXorf21	0.000452596	5.21E-05	-5.09E-05	5.55E-05
CXXC5	-0.00016624	0.000513523	-0.000497352	0.002627618
CYB5RL	0.000139036	0.000205409	1.45E-05	4.82E-06
CYBB	0.000311655	-8.62E-05	-5.43E-05	0.000209243
CYGB	-0.00011294	0.000120908	-0.00011344	0.000704359
CYP1B1	8.03E-05	-2.14E-05	-3.47E-05	2.47E-05
CYP26A1	-7.88E-05	-0.000142191	-0.000162787	0.000999822
CYSLTR1	0.00021723	-9.41E-05	0.000111299	0.000230816
DAAM1	0.000381538	0.00024621	-4.01E-05	0.000317475
DAB2	-2.41E-05	0.000757594	-0.000194134	0.00087162
DAB2IP	0.000113537	0.00039704	-4.34E-05	0.000786701
DACH1	-4.08E-05	-1.90E-05	-7.90E-05	0.000410738
DACT1	-0.000159303	-3.05E-05	0.000147701	-6.23E-05
DAPK2	-7.38E-05	-1.13E-05	-0.000200491	0.001333534
DBH	-7.35E-05	-2.87E-05	0.000103998	-1.57E-05
DCAF4L1	1.70E-05	5.93E-06	0.000115143	-4.90E-05
DCBLD1	-0.000122941	0.000609047	-5.35E-05	0.000579501
DCLRE1C	0.000451203	0.000730206	6.58E-05	0.000145493
DDHD1	0.000992444	-0.000104077	0.000142631	4.31E-05
DDR2	-2.28E-05	-4.45E-05	2.17E-05	3.82E-05
DDX3Y	-0.000321141	0.000258949	0.00077792	0.000310431
DDX60	0.000628673	0.000515066	0.0001342	0.000123259
DDX60L	0.000494073	-4.80E-05	0.000258797	0.000118875
DEK	2.30E-05	0.003928996	7.74E-05	0.000436905
DENND11	-9.46E-05	5.44E-05	0.000372857	0.000330756
DEPDC1	-1.30E-05	0.000502242	-5.00E-05	0.000261862
DEPP1	7.96E-05	-2.61E-05	-2.27E-05	0.000143237
DEPTOR	-0.000109138	-4.87E-05	4.57E-05	0.000226648
DGCR9	0.000482399	0.00048771	-0.000129273	-0.000107847
DGKG	0.000123377	-5.32E-05	4.47E-06	8.55E-05
DGKH	0.001039375	0.000131538	6.79E-05	-0.0002858
DGKI	4.64E-05	-3.47E-05	2.67E-05	-2.20E-05
DGKK	-0.000121106	-0.000229604	-0.000234381	0.001301297
DHCR24	4.39E-05	0.001602988	-0.000232839	0.000581275
DHFR	-0.000249882	0.005128748	-0.000319649	0.000330727
DHTKD1	-4.81E-05	7.69E-05	0.000150112	0.000180341
DIAPH3	-0.000383869	0.003795262	-0.00020196	-0.000212102
DISP1	0.000308915	0.000158179	-2.50E-05	-1.48E-05
DKK3	-0.000159543	2.73E-05	1.30E-05	0.000253889
DLC1	3.84E-06	-6.68E-05	1.79E-05	0.000167871
DLG5	0.000894374	2.87E-05	-0.000242074	0.000609588
DLGAP5	-0.000252618	0.002876301	-0.000131026	-0.000333021
DLL1	-0.000157756	-0.000133027	-0.000292363	0.001902097
DLX2	2.22E-05	-4.63E-05	-5.64E-06	0.000115021
DLX6-AS1	2.46E-05	-3.99E-05	0.00010851	-3.60E-05
DMXL2	-0.000152536	0.000587636	9.32E-05	0.0001191
DNAH10	4.78E-06	6.28E-05	7.21E-06	1.14E-05
DNAH11	2.59E-05	0.000243364	4.51E-05	1.31E-05
DNAH12	-1.70E-05	-3.23E-05	5.45E-05	-4.45E-05
DNAH6	-7.35E-05	-6.24E-05	4.54E-05	0.0001181
DNAJA1	-0.000100542	0.000788026	0.000490299	0.000234826
DNAJA4	0.000255937	0.000295488	0.000137704	-1.06E-06
DNAJB1	-4.39E-05	0.000301212	0.000482218	-0.000449553
DNAJB4	0.000503097	4.00E-05	8.59E-06	5.21E-05
DNAJC13	0.00020092	0.000385412	0.000192378	0.000293065
DNAJC27	-6.64E-05	9.34E-05	0.000151279	5.26E-05
DNAJC9	5.15E-05	0.003964095	-0.000106775	0.000135891
DNASE1	0.000485021	9.71E-06	-1.52E-05	0.000326227
DNM3	0.00047454	-7.21E-05	-3.58E-05	-3.56E-05
DNMT1	-5.49E-05	0.002860207	0.000113421	0.000343848
DOCK4	1.88E-05	-5.47E-05	5.51E-05	7.04E-05
DOCK5	-4.22E-05	0.000214848	-0.000204251	0.001388393
DOK3	0.000171714	-3.42E-05	3.05E-05	0.000102682
DOP1A	0.000105277	0.000170992	0.000208624	0.000162109
DPF3	0.000201966	3.58E-05	-0.000369384	0.001740157
DPP4	-3.98E-05	0.000223813	0.000718888	-0.000545305
DRAXIN	0.000634864	-0.000135277	-0.000286616	0.000881676
DSC1	-0.000180715	-1.41E-05	0.000140266	-0.000149693
DSC2	0.000186303	-2.08E-05	-1.87E-05	7.25E-05
DSCAML1	3.33E-05	-2.78E-05	-7.35E-06	-2.12E-05
DSE	-4.17E-05	0.000126991	0.000255051	-0.000155699
DSEL	-0.000203658	-0.000105429	0.00017076	-3.96E-05
DST	-0.000166592	-0.000102715	-4.02E-06	0.000814183
DSTYK	0.000108283	1.70E-05	0.000215242	0.000107623
DTHD1	-0.000166583	0.000328557	7.76E-05	0.000663423
DTL	-0.000194	0.005015936	-0.000410845	-2.42E-05
DUBR	-5.03E-05	0.000265205	4.92E-07	0.000219598
DUSP16	0.002536128	-0.000114561	-3.54E-05	-0.000733209
DUSP2	1.04E-05	0.000746287	4.57E-05	0.001541253
DUSP4	0.002845398	0.000876389	-0.000378935	0.000313405
DUSP6	-0.000259995	-0.000111686	0.000261128	0.000684194
DUT	-0.000239037	0.004449619	5.71E-05	-0.000293801
DYNC2H1	-0.000189225	-6.75E-05	0.000228164	0.000119214
DYRK3	-8.05E-05	0.000113166	0.00016963	-6.92E-05
DYSF	-0.000143773	-5.90E-05	-6.90E-05	0.000905095
DZIP3	0.000609685	3.43E-05	-4.09E-05	0.000633639
E2F1	-0.000375817	0.004633079	-0.000335155	0.000258312
E2F2	-5.56E-05	0.004478462	-0.000268037	-0.000444409
E2F7	-0.000206222	0.00333369	-0.000259685	0.000101338
EBF1	3.65E-05	-4.74E-05	-9.07E-06	0.000129112
ECEL1	0.001066999	-0.000138308	-0.00021051	-6.18E-05
ECSCR	0.00022681	-1.11E-05	7.47E-05	-4.86E-05
ECT2	0.00042153	0.001249042	-0.000107918	-0.000113688
EDN1	-9.77E-05	-7.47E-05	7.84E-05	0.000167121
EEA1	-0.000213314	0.000315926	0.000223797	0.000342725
EFCAB12	-2.96E-05	-5.26E-05	7.76E-05	2.03E-05
EFCAB5	-4.53E-05	0.000106869	-2.09E-05	0.000182137
EFHD2	0.001797596	0.00096947	-0.000517851	0.001617729
EFNA5	4.01E-05	6.22E-05	-7.11E-05	0.000390145
EFNB2	-0.000120853	-1.49E-05	0.000103757	5.92E-06
EGLN3	-5.03E-05	-0.000134039	6.09E-06	0.000474342
EGR1	-0.000411332	9.28E-05	0.000220951	0.000536578
EGR2	-6.88E-05	0.000161253	1.33E-05	0.000725256
EGR3	0.00013181	-3.22E-05	3.41E-05	0.000278574
EGR4	-4.47E-05	8.09E-05	-6.63E-05	0.000366102
EHBP1	-1.34E-05	0.000109743	0.000207403	0.0002309
EIF2AK2	0.000726918	0.000839149	0.00016457	0.000353785
EIF4G3	0.001031958	0.000225099	-2.20E-05	0.000745248
ELAVL4	1.57E-05	5.25E-06	1.50E-05	-5.01E-05
ELL2	-0.000110207	2.08E-05	0.000166778	0.000950316
ELOVL6	-0.000123836	0.000226436	0.000178458	0.000521174
EME1	-0.000135621	0.001754156	-8.14E-05	-0.000121467
EML5	-0.00036323	0.000895392	0.000126508	-3.59E-05
EMP1	-0.00019704	-6.13E-05	0.000272873	-0.000197868
ENC1	-6.56E-05	0.000792367	4.41E-06	0.000489007
ENDOD1	6.41E-05	0.00066612	9.05E-05	0.000303652
ENO1	0.001856831	0.003177504	-0.000102619	0.000588525
ENPP1	3.81E-05	-4.88E-05	8.80E-06	9.47E-05
ENPP5	-0.000174531	1.38E-05	-5.59E-06	0.000463898
ENTPD1	0.004736632	-0.000335153	-0.000926176	6.53E-05
EOMES	-0.000262303	0.000413793	-0.000117504	0.001382808
EPAS1	0.000162343	-9.04E-05	-0.000569196	0.002811255
EPB41L1	-9.70E-06	-1.40E-05	-1.64E-05	0.000356187
EPB41L2	-0.000156599	0.000918895	4.88E-05	0.000226747
EPB41L3	0.000290309	9.47E-05	-9.28E-05	0.000461028
EPB41L4A	-0.000121455	0.000325707	-3.51E-05	0.00032658
EPGN	-0.000222811	-8.11E-05	0.000138141	-4.39E-05
EPHA4	-0.000638532	-3.25E-05	0.00037475	-7.29E-05
EPHB6	0.000280144	-3.02E-05	0.000207927	-0.000232875
EPSTI1	0.001417355	0.000633207	2.75E-05	-0.000128631
ERC1	0.000402888	0.00036262	0.000139981	1.53E-05
ERCC6L	0.000150405	0.001423052	-0.000123214	-0.000120706
ERI1	0.002041985	0.00119979	-0.000463672	0.000394411
ERICH3	0.00013598	-5.61E-05	-9.52E-05	0.000519587
ERMP1	9.53E-06	0.000431704	-0.00014978	0.001490337
ERRFI1	8.06E-05	-2.89E-05	0.000102328	2.88E-05
ERVK13-1	3.00E-05	0.000229748	0.000139805	0.000179745
ESCO2	-0.000302925	0.00380773	-0.000222304	-0.000310564
ESF1	1.77E-05	0.000158173	0.000261121	0.000158209
ESPL1	-5.07E-05	0.002532951	-0.00017268	-0.000183209
ESR1	0.000311207	-5.97E-05	4.54E-05	-6.69E-05
EVC	0.000359468	0.000107336	-4.67E-05	6.30E-05
EVC2	0.000265504	9.07E-05	1.31E-05	-1.20E-05
EVPL	-4.42E-05	-8.72E-05	0.000123987	0.000128348
EXO1	0.00034281	0.002797732	-0.000301174	-9.12E-05
EXPH5	-0.000237269	0.000219711	0.000150102	1.65E-07
EZH2	0.000627659	0.003201416	-0.000304654	7.59E-05
F2R	-0.000231255	0.00104235	0.000197124	0.000531887
F5	0.002868258	-0.000279925	-0.000347019	-0.000454638
FABP5	0.000441941	0.002323734	-0.000213281	0.000331898
FADS1	-1.26E-05	0.000439286	-9.87E-06	0.000362451
FAM107A	1.19E-05	-2.35E-05	4.40E-06	-1.20E-05
FAM111B	-0.00040583	0.005657346	-0.000353554	-0.000439114
FAM114A1	-2.44E-05	9.49E-05	-1.74E-05	8.42E-05
FAM126A	0.000756559	0.000469259	-0.000118693	0.000653312
FAM13A	-4.47E-05	-0.000146254	0.00024166	4.86E-05
FAM160A1	-0.000123291	-4.04E-05	9.15E-05	-6.36E-05
FAM169A	-0.000312502	-4.02E-05	0.000286674	8.32E-06
FAM174B	0.00038159	0.000251708	-5.92E-05	-0.000168323
FAM184A	0.000601436	4.89E-05	0.000117123	-0.000329945
FAM30A	1.47E-05	-4.79E-05	-0.000153503	0.000809056
FAM3C	0.000366297	0.000322766	-0.00016445	0.001114296
FAM43A	0.000126578	-0.00013195	-0.000148592	0.000970354
FAM49A	-0.000150596	3.36E-05	-0.000362968	0.002068272
FAM53A	8.61E-05	0.000142247	3.93E-05	-5.92E-05
FAM71A	-9.48E-05	-6.96E-05	7.89E-05	7.92E-05
FAM83D	8.58E-05	0.000424544	4.48E-05	6.40E-05
FAN1	-0.000170954	0.000628255	0.000300614	6.18E-05
FANCD2	-0.000183794	0.002412387	1.51E-05	4.99E-07
FANCI	-0.000165411	0.004642781	-0.000229975	-0.000164944
FANK1	0.002667337	-0.000137045	-0.000485943	-0.000244766
FASLG	3.66E-05	0.000584489	-0.000271218	0.001541921
FAT4	-0.000122068	-0.000111908	-0.000149004	0.001001986
FBXL19-AS1	0.000197529	4.09E-05	-1.49E-05	5.28E-05
FBXO2	0.000507426	-0.000159256	-4.66E-05	0.000554827
FBXO22	0.001039126	0.00017323	-1.93E-05	8.27E-05
FBXO32	-0.00053969	-6.29E-05	0.000576051	-0.00034927
FCER1G	-0.000202723	-0.000205979	-0.000736187	0.003757194
FCGR2B	8.91E-05	4.68E-05	2.60E-05	0.000292475
FCGR3A	-0.000370877	0.000341861	-0.000483887	0.002842149
FCGR3B	-4.30E-05	-2.68E-05	1.07E-05	0.000281929
FCN1	0.00035263	-6.42E-05	-3.56E-05	1.00E-05
FCRL1	0.000109113	0.000222861	-1.41E-05	3.73E-05
FCRL3	0.00022171	-0.000144589	-0.000144695	0.00093315
FCRL6	-0.000499981	0.001018183	-0.000208406	0.001737046
FEN1	4.31E-05	0.00419115	-0.000363226	0.000159449
FER	-0.00022178	-1.86E-05	0.00015414	0.000464098
FEZ1	-0.000122685	-2.13E-06	-9.31E-05	0.000810734
FFAR2	2.34E-05	-0.000131065	-0.000109541	0.000650081
FGF1	-2.36E-05	-4.25E-05	1.61E-05	-6.17E-06
FGF9	-0.000163648	0.000189561	6.93E-05	0.000108937
FGFBP2	-0.000429379	0.000200955	-0.000423605	0.002431946
FGL2	0.000223062	0.000289637	8.68E-05	0.000466763
FGR	-0.000300311	0.000410676	-0.000576631	0.003015749
FHDC1	-8.76E-05	-5.96E-05	9.08E-05	1.33E-05
FHIT	-0.000128615	-0.000104071	0.000259416	-0.000169156
FIGNL1	-5.98E-05	0.001152905	4.81E-05	-6.64E-05
FILIP1L	0.000489258	9.14E-05	-6.80E-05	7.88E-05
FLNA	0.000703787	0.001712301	0.000122077	0.00073526
FLNB	0.000664028	0.000247719	3.58E-05	0.000128233
FLT1	0.000846648	2.63E-05	-0.000100707	-2.48E-06
FMN1	-0.000229838	-0.00010804	0.000184228	-0.000251367
FMNL2	0.000258358	-6.27E-05	2.66E-05	0.000236683
FN1	0.000715844	-4.79E-05	-9.88E-05	0.000110231
FNDC3B	0.001322088	-4.88E-05	-0.00030712	0.001109793
FNDC4	-8.42E-05	6.88E-05	7.55E-06	9.65E-05
FNIP2	-0.00018527	0.000338944	8.72E-05	0.000450457
FOS	-0.001645804	-0.000194494	0.001031475	-0.000475852
FOSB	-0.001193209	-0.000168181	0.000900189	9.89E-05
FOXB1	0.000412939	4.33E-05	-2.23E-05	-0.000115687
FOXC1	0.000417263	-5.30E-05	-0.000160184	0.000428065
FOXJ1	-0.000197923	-3.04E-05	0.000121523	-0.000119674
FOXM1	-0.000208722	0.002729793	-0.000158662	-0.000184771
FOXN3-AS1	1.24E-06	0.000131579	-3.88E-05	0.000305958
FOXP3	0.005291232	-0.000330648	-0.000941597	-0.000409807
FOXRED2	-5.67E-05	0.001077088	-1.12E-05	-0.00010343
FRMD3	-9.43E-06	5.84E-07	6.31E-06	0.000111121
FRMD4B	0.001437742	0.000304846	4.64E-05	-0.000153359
FRY	-0.000159138	-2.52E-06	0.000185692	-6.19E-05
FSD1L	1.90E-05	0.000153204	3.15E-05	0.000264381
FSIP2	-5.63E-06	2.38E-05	3.62E-05	-5.34E-05
FTH1	-7.77E-05	0.00064376	0.000826395	-9.03E-05
FTL	0.00062587	0.000672046	0.000401815	0.0002193
FTX	0.000597719	-0.000178039	0.000226185	0.000197971
FURIN	0.000496088	0.000115549	0.000109124	0.000207821
FUT2	-3.27E-05	-2.19E-05	7.48E-05	-2.88E-05
FXYD2	0.000312765	0.000538492	3.70E-05	-0.000165994
FZD5	-8.58E-05	-6.99E-05	-7.21E-06	0.000394603
G0S2	0.000240482	-0.000102972	7.98E-05	6.05E-05
GABPB1-AS1	-8.72E-05	-5.85E-05	0.000477856	4.77E-05
GABPB2	-0.000142824	0.000511604	0.000236026	-6.86E-05
GADD45A	0.001997015	-5.82E-05	-2.49E-05	-0.000215287
GADD45B	-0.000383346	0.000107375	0.000368229	0.000904593
GADD45G	0.000770696	-0.000170192	-3.13E-05	0.000258695
GALNT4	0.000293737	-0.000105548	9.69E-05	0.000604767
GALNT6	9.29E-05	0.000179432	-2.15E-07	0.000786508
GAP43	-7.63E-05	-4.53E-05	0.00010758	7.41E-05
GAPDH	0.002246885	0.003817273	-0.000294619	0.000747023
GAPT	7.42E-05	0.000574878	-6.83E-05	7.70E-05
GARS-DT	0.000295101	-0.000128111	0.000222706	8.60E-06
GAS1	-5.68E-05	0.000172952	-3.74E-05	0.000246028
GAS2L1	0.00010578	-1.58E-05	6.48E-05	5.57E-06
GAS7	-0.000297469	0.000193694	-0.000412976	0.002501879
GAS8	-6.35E-05	5.47E-05	0.000131488	-3.90E-05
GATA2	0.000137004	-6.09E-05	-2.38E-05	0.000334299
GATA3	0.001817709	-0.000235931	-7.21E-05	0.000394924
GBP1	0.001310984	0.001285434	0.00011255	-0.000103419
GBP2	0.002946495	0.000394714	-0.000187087	0.000166148
GBP4	0.001027171	0.001476647	1.16E-05	0.000174015
GBP5	0.002345608	0.000815856	-5.31E-05	4.32E-05
GBP6	0.000145164	-1.01E-05	-5.69E-06	1.70E-05
GCNT1	0.001851233	0.000326071	-0.000504312	0.000948776
GCNT4	-0.000234076	-5.13E-05	0.000268053	-0.000391861
GDAP1	0.000234008	0.000616852	-6.11E-06	0.000264785
GDF11	6.50E-05	0.000190601	0.000114651	0.000169604
GEM	0.000902476	-8.94E-05	-0.000237858	0.000405526
GEMIN5	0.000122976	0.000209062	7.88E-05	0.000281605
GEN1	0.0003445	0.000663887	-6.48E-05	0.000204555
GFAP	2.95E-06	4.71E-05	1.47E-05	1.58E-05
GFOD1	-0.000263995	0.000184984	-0.000422314	0.002704306
GFPT2	-0.00011785	0.000130737	3.39E-05	0.000150771
GGH	3.43E-05	0.001863951	-0.000150616	-1.78E-05
GIMAP4	-0.000185483	0.000556491	0.000663766	-0.000207374
GIMAP7	-0.000386054	0.000497048	0.000742379	-0.000468886
GINS2	0.000325231	0.004382883	-0.000443133	3.98E-05
GINS4	-0.00018733	0.003147985	-0.0001624	2.92E-05
GK5	-0.00024775	0.000272534	-4.51E-05	0.00150012
GLB1L	7.01E-05	1.23E-05	4.41E-05	-2.25E-05
GLI3	-1.74E-05	-4.35E-05	-3.63E-05	0.000190618
GLIPR1L2	1.52E-05	9.69E-05	1.83E-05	-9.53E-05
GLRX	0.003242989	0.00010902	-0.000371714	6.34E-05
GLUL	-0.000685003	0.00081063	0.000450157	0.000850998
GM2A	0.002654751	1.19E-05	-0.000356507	8.89E-05
GNA12	0.000729427	0.000676708	-1.74E-05	3.59E-05
GNA15	0.00125315	6.94E-05	1.72E-05	-0.000125619
GNAL	2.81E-05	-8.58E-05	-0.000130283	0.000652547
GNB4	0.000256756	0.000750309	-0.000113762	0.000272076
GNG11	-1.35E-05	0.00015768	1.39E-05	5.08E-05
GNG4	0.000192124	-6.96E-06	-2.55E-05	3.37E-05
GNLY	-0.000191903	-0.00022632	-0.000639694	0.003169297
GNPTAB	0.00055588	0.000312724	-0.000377124	0.002860034
GOLGA4	5.35E-05	7.08E-05	0.000496764	0.000300603
GOLGB1	0.000798772	0.000179858	0.000288958	0.000265145
GOLIM4	0.000208317	7.70E-05	-0.000431668	0.002169215
GPAT3	0.001446639	8.68E-07	-0.00012721	-0.000192111
GPATCH2L	0.000337636	-4.48E-05	0.000269556	0.000493998
GPM6A	-0.000389127	-0.000133853	0.000282222	-0.000360905
GPNMB	0.00040357	-6.82E-05	-3.22E-05	7.28E-05
GPR15	-0.000158144	4.95E-05	9.36E-05	0.000236504
GPR155	0.000155472	-0.000134168	0.000534254	-0.000391201
GPR157	2.73E-05	1.80E-05	9.48E-05	7.29E-06
GPR171	-0.000121772	0.000208026	0.000481905	-7.26E-05
GPR183	-0.000441125	0.0001537	0.000714141	-0.001116399
GPR34	0.00010095	-2.67E-05	-0.000167761	0.000875744
GPR55	-8.20E-05	2.26E-05	7.32E-05	0.00024009
GPRASP1	-0.000226064	-5.98E-05	0.000342007	-0.000192158
GPRC5D-AS1	0.000100353	-8.86E-05	9.23E-05	0.000101965
GRAMD1C	1.77E-05	-3.92E-05	5.58E-06	0.000309784
GRASP	-0.000521998	1.15E-05	-1.05E-05	0.001621003
GREM2	-0.000229824	-0.00010038	0.000227148	-0.000182215
GRIK4	-0.000192941	9.28E-05	-0.000229947	0.001514446
GRK3	0.00191517	0.000122771	-0.00033335	2.54E-05
GSAP	-0.000495453	-0.000170318	3.24E-05	0.001414326
GSDMA	0.000338925	-5.68E-05	1.99E-05	-8.76E-05
GSTP1	-0.000197236	0.001718302	-0.000477505	0.002881051
GTF2IRD1	-8.06E-05	-4.73E-05	4.96E-05	9.28E-05
GTSE1	-8.66E-05	0.001859522	-0.000121046	-0.000133829
GXYLT1	0.000439583	0.000433239	-1.95E-05	0.000431928
GZMA	9.47E-05	0.001943011	-0.000145043	0.001946202
GZMB	-0.000216485	0.00041846	-0.000557842	0.003294467
GZMH	-0.000213541	0.001485051	1.48E-05	0.001241291
GZMK	-0.000220575	0.00111635	0.000384559	8.16E-05
H1F0	0.000130572	0.000211684	8.64E-05	-0.000151407
H2AFZ	0.00038894	0.004190453	-0.000175222	0.000162321
HACD1	0.002427524	-9.43E-05	-0.000483825	0.00025201
HAVCR2	0.001332308	0.000130949	-0.000496717	0.001616715
HBA2	-2.82E-05	5.39E-05	1.30E-05	4.78E-06
HBB	-3.95E-05	0.000120948	1.52E-05	-8.53E-06
HBEGF	-0.000262387	-6.87E-05	0.000294203	-0.000230992
HCG27	9.18E-05	-2.05E-05	0.000209835	-0.000174989
HDAC9	0.000834775	-6.91E-05	-0.000173492	0.000337551
HDC	0.000226325	-5.13E-05	-4.38E-05	0.00037733
HDGFL3	-0.000343625	8.78E-05	-3.48E-05	0.001239762
HDX	1.58E-05	7.00E-06	-5.33E-06	0.000297236
HEATR1	3.83E-05	0.000638761	0.000197637	0.000276237
HECTD1	0.000409355	0.000362357	0.000238703	0.000513016
HELLS	-3.66E-06	0.003938762	-0.000275928	0.00044964
HELZ2	0.000546567	0.000285614	0.000132487	0.000148195
HERC1	0.000410854	-3.11E-05	0.000171472	0.001117697
HERC5	0.001189227	0.000309266	5.38E-05	-0.000182118
HEXD-IT1	3.43E-05	2.62E-05	9.26E-05	-2.74E-05
HIP1	0.000884231	0.000100574	-0.000245964	0.00119848
HIPK2	-0.000237452	-4.28E-05	-0.000113973	0.001964819
HIRIP3	-0.000212099	0.001966012	-2.04E-05	0.000283969
HIST1H1B	-0.00027071	0.002556443	-4.95E-05	-0.000239155
HIST1H1D	-0.000374288	0.001291483	0.000586941	9.23E-05
